Temperature [K],Material,ZT,Major consitituing element,Abundance in Earth's crust [kg/Kg]]
305.76461317387475,MnSi,0.14,Mn,9.5E-4
363.9447457469986,MnSi,0.19,Mn,9.5E-4
307.2053029249525,BaAuGe,0.19,Ge,1.5E-6
356.88221387845914,BaAuGe,0.25,Ge,1.5E-6
406.56283317109353,BaAuGe,0.33,Ge,1.5E-6
301.63537755527744,DD-FeCoSbSn,0.41,Sb,2E-7
335.71315996847915,DD-FeCoSbSn,0.48,Sb,2E-7
389.6676401056876,DD-FeCoSbSn,0.60,Sb,2E-7
300.1131043433922,PbTeNaSr,0.19,Te,1E-9
324.24882955546286,PbTeNaSr,0.23,Te,1E-9
372.5518008621889,PbTeNaSr,0.39,Te,1E-9
300.1131043433922,PbTeNaSr,0.19,Te,1E-9
324.24882955546286,PbTeNaSr,0.23,Te,1E-9
372.5518008621889,PbTeNaSr,0.39,Te,1E-9
292.933759792333,TTF-TCNQ,0.00784,C,2E-4
293.1265934269689,PEDOT:TOS,0.41,C,2E-4
298.65016455754875,PEDOT:PSS Te Nanorods,0.09,C,2E-4
304.75779910072777,PEDOT:PSS PANI Graphene CNTs,1.015,C,2E-4
302.00991980716634,SiNWs,1.2039,Si,2.82E-1
300.57850090390764,BiSbTe,1.176,Te,1E-9
324.74760116812683,BiSbTe,1.294,Te,1E-9
346.06128030408377,BiSbTe,1.372,Te,1E-9
374.46344968247354,BiSbTe,1.449Te91E-9
