Title,Authors,Source Title,Publication Date,Publication Year,DOI,Total Citations,Search
Smart Textile-Integrated Microelectronic Systems for Wearable Applications,"Shi, Jidong; Liu, Su; Zhang, Lisha; Yang, Bao; Shu, Lin; Yang, Ying; Ren, Ming; Wang, Yang; Chen, Jiewei; Chen, Wei; Choi, Yang; Tao, Xiaoming",ADVANCED MATERIALS,FEB 2020,2020.0,10.1002/adma.201901958,72,OTE+IoT
A Highly Efficient Reconfigurable Charge Pump Energy Harvester With Wide Harvesting Range and Two-Dimensional MPPT for Internet of Things,"Liu, Xiaosen; Huang, Lilly; Ravichandran, Krishnan; Sanchez-Sinencio, Edgar",IEEE JOURNAL OF SOLID-STATE CIRCUITS,MAY 2016,2016.0,10.1109/JSSC.2016.2525822,48,OTE+IoT
Review of Micro Thermoelectric Generator,"Yan, Jiabin; Liao, Xiaoping; Yan, Deyang; Chen, Youguo",JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,FEB 2018,2018.0,10.1109/JMEMS.2017.2782748,47,OTE+IoT
Thermoelectricity for IoT - A review,"Haras, Maciej; Skotnicki, Thomas",NANO ENERGY,DEC 2018,2018.0,10.1016/j.nanoen.2018.10.013,41,OTE+IoT
Hybrid Energy Harvesters: Toward Sustainable Energy Harvesting,"Ryu, Hanjun; Yoon, Hong-Joon; Kim, Sang-Woo",ADVANCED MATERIALS,AUG 2019,2019.0,10.1002/adma.201802898,37,OTE+IoT
Analysis and Design of a Thermoelectric Energy Harvesting System With Reconfigurable Array of Thermoelectric Generators for IoT Applications,"Wan, Qiping; Teh, Ying-Khai; Gao, Yuan; Mok, Philip K. T.",IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,SEP 2017,2017.0,10.1109/TCSI.2017.2708763,36,OTE+IoT
"Printed, metallic thermoelectric generators integrated with pipe insulation for powering wireless sensors","Iezzi, Brian; Ankireddy, Krishnamraju; Twiddy, Jack; Losego, Mark D.; Jur, Jesse S.",APPLIED ENERGY,DEC 15 2017,2017.0,10.1016/j.apenergy.2017.09.073,29,OTE+IoT
A Multiparameter Pressure-Temperature-Humidity Sensor Based on Mixed Ionic-Electronic Cellulose Aerogels,"Han, Shaobo; Alvi, Naveed Ul Hassan; Granlof, Lars; Granberg, Hjalmar; Berggren, Magnus; Fabiano, Simone; Crispin, Xavier",ADVANCED SCIENCE,APR 17 2019,2019.0,10.1002/advs.201802128,26,OTE+IoT
Micro and Nano-Engineering Enabled New Generation of Thermoelectric Generator Devices and Applications,"Rojas, Jhonathan P.; Singh, Devendra; Inayat, Salman B.; Sevilla, Galo A. Torres; Fahad, Hossain M.; Hussain, Muhammad M.",ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,2017,2017.0,10.1149/2.0081703jss,24,OTE+IoT
Dual-Source Self-Start High-Efficiency Microscale Smart Energy Harvesting System for IoT,"Elhebeary, Mahmoud R.; Ibrahim, Mahmoud A. A.; Aboudina, Mohamed M.; Mohieldin, Ahmed Nader",IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,JAN 2018,2018.0,10.1109/TIE.2017.2714119,21,OTE+IoT
SiGe nanowire arrays based thermoelectric microgenerator,"Noyan, Inci Donmez; Gadea, Gerard; Salleras, Marc; Pacios, Merce; Calaza, Carlos; Stranz, Andrej; Dolcet, Marc; Morata, Alex; Tarancon, Albert; Fonseca, Luis",NANO ENERGY,MAR 2019,2019.0,10.1016/j.nanoen.2018.12.050,18,OTE+IoT
"Modeling, Simulation, Fabrication, and Characterization of a 10-mu W/cm(2) Class Si-Nanowire Thermoelectric Generator for IoT Applications","Tomita, Motohiro; Oba, Shunsuke; Himeda, Yuya; Yamato, Ryo; Shima, Keisuke; Kumada, Takehiro; Xu, Mao; Takezawa, Hiroki; Mesaki, Kohhei; Tsuda, Kazuaki; Hashimoto, Shuichiro; Zhan, Tianzhuo; Zhang, Hui; Kamakura, Yoshinari; Suzuki, Yuhhei; Inokawa, Hiroshi; Ikeda, Hiroya; Matsukawa, Takashi; Matsuki, Takeo; Watanabe, Takanobu",IEEE TRANSACTIONS ON ELECTRON DEVICES,NOV 2018,2018.0,10.1109/TED.2018.2867845,18,OTE+IoT
