x1,y1,x1b,y1b,x2,y2,x2b,y2b
1000,-11.46901,1000,-11.96189,1000,-13.362,1000,-12.86621
1389.495,-13.17,1047.12855,-12.11104,1389.95263,-14.076,1047.12855,-13.04036
1930.698,-13.332,1096.4782,-12.2609,1931.96832,-15.594,1096.4782,-13.21592
2682.696,-15.054,1148.15362,-12.41143,2685.34445,-16.218,1148.15362,-13.3929
3727.594,-16.02,1202.26443,-12.56262,3723.91706,-18.174,1202.26443,-13.57128
5179.475,-16.62327,1258.92541,-12.71444,5176.06832,-19.542,1258.92541,-13.75104
7196.857,-17.81206,1318.25674,-12.86684,7194.48978,-21.798,1318.25674,-13.93219
10000,-18.98387,1380.38426,-13.0198,10000,-23.052,1380.38426,-14.1147
13894.955,-19.6377,1445.43977,-13.17329,13899.52631,-24.288,1445.43977,-14.29856
19306.977,-21.0133,1513.56125,-13.32728,19319.68317,-25.56,1513.56125,-14.48377
26826.958,-21.696,1584.89319,-13.48172,26853.44446,-27.408,1584.89319,-14.6703
37275.937,-22.836,1659.58691,-13.63658,37239.17063,-29.04,1659.58691,-14.85814
51794.747,-23.364,1737.80083,-13.79184,51760.6832,-31.152,1737.80083,-15.04728
71968.567,-24.87688,1819.70086,-13.94743,71944.8978,-32.292,1819.70086,-15.2377
100000,-26.00623,1905.46072,-14.10334,100000,-34.14,1905.46072,-15.42939
,,1995.26231,-14.25952,,,1995.26231,-15.62233
,,2089.29613,-14.41593,,,2089.29613,-15.8165
,,2187.76162,-14.57253,,,2187.76162,-16.01188
,,2290.86765,-14.72928,,,2290.86765,-16.20846
,,2398.83292,-14.88613,,,2398.83292,-16.40621
,,2511.88643,-15.04304,,,2511.88643,-16.60512
,,2630.26799,-15.19997,,,2630.26799,-16.80516
,,2754.2287,-15.35686,,,2754.2287,-17.00631
,,2884.0315,-15.51368,,,2884.0315,-17.20856
,,3019.95172,-15.67038,,,3019.95172,-17.41188
,,3162.27766,-15.82691,,,3162.27766,-17.61624
,,3311.31121,-15.98322,,,3311.31121,-17.82162
,,3467.3685,-16.13926,,,3467.3685,-18.028
,,3630.78055,-16.29499,,,3630.78055,-18.23536
,,3801.89396,-16.45035,,,3801.89396,-18.44367
,,3981.07171,-16.60531,,,3981.07171,-18.6529
,,4168.69383,-16.75979,,,4168.69383,-18.86303
,,4365.15832,-16.91377,,,4365.15832,-19.07403
,,4570.8819,-17.06718,,,4570.8819,-19.28587
,,4786.30092,-17.21998,,,4786.30092,-19.49854
,,5011.87234,-17.37211,,,5011.87234,-19.71199
,,5248.0746,-17.52354,,,5248.0746,-19.92621
,,5495.40874,-17.6742,,,5495.40874,-20.14117
,,5754.39937,-17.82404,,,5754.39937,-20.35683
,,6025.59586,-17.97303,,,6025.59586,-20.57318
,,6309.57344,-18.12111,,,6309.57344,-20.79018
,,6606.93448,-18.26824,,,6606.93448,-21.0078
,,6918.30971,-18.41436,,,6918.30971,-21.22602
,,7244.3596,-18.55944,,,7244.3596,-21.44481
,,7585.77575,-18.70343,,,7585.77575,-21.66414
,,7943.28235,-18.84628,,,7943.28235,-21.88399
,,8317.63771,-18.98796,,,8317.63771,-22.10432
,,8709.6359,-19.12843,,,8709.6359,-22.32511
,,9120.10839,-19.26764,,,9120.10839,-22.54634
,,9549.92586,-19.40557,,,9549.92586,-22.76797
,,10000,-19.54218,,,10000,-22.98998
,,10471.28548,-19.67743,,,10471.28548,-23.21235
,,10964.78196,-19.81131,,,10964.78196,-23.43504
,,11481.53621,-19.94377,,,11481.53621,-23.65805
,,12022.64435,-20.07481,,,12022.64435,-23.88133
,,12589.25412,-20.20439,,,12589.25412,-24.10488
,,13182.56739,-20.3325,,,13182.56739,-24.32866
,,13803.84265,-20.45913,,,13803.84265,-24.55266
,,14454.39771,-20.58426,,,14454.39771,-24.77686
,,15135.61248,-20.7079,,,15135.61248,-25.00123
,,15848.93192,-20.83002,,,15848.93192,-25.22576
,,16595.86907,-20.95065,,,16595.86907,-25.45043
,,17378.00829,-21.06978,,,17378.00829,-25.67522
,,18197.00859,-21.18742,,,18197.00859,-25.90012
,,19054.60718,-21.30359,,,19054.60718,-26.12511
,,19952.62315,-21.4183,,,19952.62315,-26.35018
,,20892.96131,-21.53159,,,20892.96131,-26.57531
,,21877.61624,-21.64347,,,21877.61624,-26.80051
,,22908.67653,-21.75399,,,22908.67653,-27.02574
,,23988.32919,-21.86319,,,23988.32919,-27.25102
,,25118.86432,-21.9711,,,25118.86432,-27.47632
,,26302.67992,-22.0778,,,26302.67992,-27.70164
,,27542.28703,-22.18332,,,27542.28703,-27.92698
