wavenumber,e,d,f,g,h,i,j,l,m,n,a,c,b,o
361.891,,,,,,,,,,,,,,
362.855,,,,,,,,,,,,,,
363.819,,,,,,,,,,,,,,
364.783,,,,,,,,,,,,,,
365.748,,,,,,,,,,,,,,
366.712,,,,,,,,,,,,,,
367.676,,,,,,,,,,,,,,
368.64,,,,,,,,,,,,,,
369.605,,,,,,,,,,,,,,
370.569,,,,,,,,,,,,,,
371.533,,,,,,,,,,,,,,
372.497,,,,,,,,,,,,,,
373.462,,,,,,,,,,,,,,
374.426,,,,,,,,,,,,,,
375.39,,,,,,,,,,,,,,
376.354,,,,,,,,,,,,,,
377.319,,,,,,,,,,,,,,
378.283,,,,,,,,,,,,,,
379.247,,,,,,,,,,,,,,
380.211,,,,,,,,,,,,,,
381.175,,,,,,,,,,,,,,
382.14,,,,,,,,,,,,,,
383.104,,,,,,,,,,,,,,
384.068,,,,,,,,,,,,,,
385.032,,,,,,,,,,,,,,
385.997,,,,,,,,,,,,,,
386.961,,,,,,,,,,,,,,
387.925,,,,,,,,,,,,,,
388.889,,,,,,,,,,,,,,
389.854,,,,,,,,,,,,,,
390.818,,,,,,,,,,,,,,
391.782,,,,,,,,,,,,,,
392.746,,,,,,,,,,,,,,
393.71,,,,,,,,,,,,,,
394.675,,,,,,,,,,,,,,
395.639,,,,,,,,,,,,,,
396.603,,,,,,,,,,,,,,
397.567,,,,,,,,,,,,,,
398.532,,,,,,,,,,,,,,
399.496,1.308,1.635,0.6738,2.576,1.855,0.9611,1.334,0.1848,0.4871,1.72,1.163,1.037,1.457,1.354
400.46,1.35,2.387,0.6739,5.435,1.697,0.9377,1.369,0.1902,0.4838,1.64,1.257,1.06,1.509,1.427
401.424,1.389,3.153,0.6619,7.755,1.585,0.8893,1.392,0.1945,0.4841,1.536,1.326,1.06,1.456,1.47
402.389,1.4,2.3,0.6443,2.654,1.517,0.8327,1.399,0.1971,0.4874,1.445,1.346,1.047,1.344,1.491
403.353,1.372,1.809,0.6282,2.092,1.49,0.7833,1.387,0.1984,0.4931,1.373,1.34,1.031,1.244,1.505
404.317,1.316,1.599,0.6183,1.773,1.504,0.7502,1.356,0.1991,0.5001,1.32,1.353,1.019,1.188,1.515
405.281,1.251,1.502,0.6163,1.55,1.564,0.7371,1.316,0.2001,0.5071,1.284,1.423,1.009,1.18,1.509
406.246,1.19,1.479,0.6207,1.396,1.661,0.7433,1.28,0.2022,0.5131,1.264,1.579,0.9971,1.214,1.474
407.21,1.136,1.514,0.6272,1.301,1.758,0.7633,1.261,0.2059,0.5177,1.256,1.837,0.9802,1.28,1.415
408.174,1.085,1.591,0.6309,1.263,1.779,0.7882,1.26,0.2104,0.5218,1.256,2.099,0.9593,1.358,1.355
409.138,1.034,1.684,0.6284,1.277,1.684,0.8088,1.275,0.2147,0.5263,1.258,2.098,0.9375,1.421,1.313
410.102,0.9885,1.754,0.62,1.338,1.534,0.8198,1.297,0.2172,0.5317,1.255,1.814,0.9181,1.443,1.298
411.067,0.9603,1.763,0.6092,1.434,1.408,0.8209,1.325,0.217,0.5379,1.246,1.564,0.9038,1.418,1.306
412.031,0.9614,1.707,0.6,1.533,1.336,0.8151,1.361,0.2142,0.5441,1.23,1.41,0.8959,1.366,1.317
412.995,0.9994,1.614,0.5953,1.588,1.324,0.8047,1.412,0.2094,0.5493,1.211,1.326,0.8947,1.311,1.313
413.959,1.076,1.512,0.5962,1.57,1.37,0.7907,1.484,0.2038,0.5524,1.192,1.289,0.9001,1.275,1.285
414.924,1.184,1.42,0.6017,1.503,1.471,0.7735,1.578,0.198,0.5519,1.18,1.277,0.9118,1.268,1.241
415.888,1.292,1.354,0.6102,1.432,1.621,0.7554,1.672,0.1926,0.5456,1.179,1.276,0.9294,1.297,1.198
416.852,1.337,1.325,0.6193,1.39,1.774,0.7418,1.708,0.188,0.5317,1.192,1.277,0.9511,1.361,1.171
417.816,1.272,1.337,0.6251,1.397,1.825,0.7401,1.625,0.1847,0.5108,1.213,1.272,0.9721,1.446,1.164
418.781,1.147,1.382,0.624,1.451,1.714,0.7543,1.456,0.183,0.4888,1.229,1.256,0.9845,1.508,1.172
419.745,1.047,1.441,0.6155,1.517,1.553,0.7783,1.293,0.1824,0.4743,1.216,1.225,0.9824,1.507,1.183
420.709,1.005,1.495,0.6027,1.532,1.441,0.7966,1.184,0.1825,0.4717,1.173,1.183,0.9677,1.459,1.186
421.673,1.018,1.53,0.5901,1.473,1.381,0.7973,1.129,0.1831,0.4786,1.119,1.14,0.9482,1.411,1.184
422.637,1.065,1.538,0.5797,1.385,1.347,0.7816,1.116,0.1843,0.4885,1.073,1.104,0.9301,1.382,1.185
423.602,1.127,1.519,0.5719,1.316,1.313,0.76,1.132,0.1864,0.4952,1.045,1.083,0.9159,1.368,1.197
