v_c0,c0,v_t0,t0,v_pbttt_ref,pbttt_ref,v_f4tcnq_ref,f4tcnq_ref
-206.267464843232,-0.219121525335856,-206.754182197807,-0.21090949097814,201.714121935868,-0.00208242075251488,-137.834630606711,-0.110830114441723
-203.577452854223,-0.215808826346758,-204.064170208798,-0.208287556456097,204.227525759577,-0.00307540711840747,-136.566108751978,-0.0871328791890135
-200.88863466542,-0.218226881363617,-201.375352019995,-0.209345414555647,206.739856613207,4.2794303278932E-4,-135.297890424315,-0.116502302961031
-198.201009435732,-0.216198102970333,-198.687726790307,-0.207783319549615,209.251115209419,-3.22921188357623E-5,-134.029975420592,-0.100165406205843
-195.514576324988,-0.216736892083697,-196.001293679563,-0.208830615691919,211.761302260154,0.0102001927839179,-132.762363538147,-0.11741918648611
-192.829334493965,-0.21379442446401,-193.316051848541,-0.206620144127561,214.27041847663,0.0110133290742578,-131.49505457478,-0.0948523521192787
-190.145283104358,-0.216149709027797,-190.632000458933,-0.20831455745332,216.778464569342,0.0062667635394951,-130.228048328764,-0.121392903356648
-187.462421318796,-0.212837364219251,-187.949138673372,-0.204758183569033,219.285441248078,0.0100728625855109,-128.961344598825,-0.104367657951181
-184.780748300835,-0.215211227162841,-185.26746565541,-0.20687504160135,221.791349221895,0.0116281331171724,-127.694943184156,-0.132918409065692
-182.100263214952,-0.210130394467623,-182.586980569527,-0.203001741832988,224.296189199141,-2.33948095895301E-4,-126.428843884417,-0.119080516194666
-179.420965226549,-0.211779153229003,-179.907682581125,-0.205054187038594,226.799961887439,0.00167698901863541,-125.163046499723,-0.121497291152764
-176.742853501964,-0.210346074323952,-177.229570856539,-0.203377539294344,229.302667993707,-0.00186083465558164,-123.897550830643,-0.11598360170136
-174.065927208434,-0.212201819419049,-174.552644563009,-0.205239231186232,231.804308224152,-0.00145698461339462,-122.632356678216,-0.136141686524687
-171.390185514127,-0.207346535338235,-171.876902868703,-0.201244527680354,234.304883284258,-0.00160376895901826,-121.367463843929,-0.12140234096866
-168.715627588133,-0.210152949329063,-169.202344942709,-0.202155122878382,236.804393878803,-0.00496468722876102,-120.102872129726,-0.126556034891333
-166.042252600452,-0.207569121715306,-166.528969955027,-0.201840027285783,239.302840711864,-0.0042484663785944,-118.83858133801,-0.143362952279759
-163.370059721991,-0.20817407819521,-163.856777076567,-0.20026752144749,241.80022448679,-0.00829313859394285,-117.574591271631,-0.128803793929213
-160.69904812459,-0.207683972808464,-161.185765479166,-0.20063796236773,244.296545906242,-0.0101193381472084,-116.310901733892,-0.126861184346368
-158.029216980984,-0.20637608062901,-158.515934335559,-0.199547326938217,246.79180567216,-0.00767175354236088,-115.047512528556,-0.135180714885102
-155.360565464825,-0.204583411870187,-155.8472828194,-0.197966559600773,249.28600448579,-0.00690560486832665,-113.784423459823,-0.137924315954533
-152.693092750671,-0.205557891358401,-153.179810105247,-0.200677943321951,251.779143047662,-0.00730680715255014,-112.521634332354,-0.144723449494492
-150.026798013994,-0.20603642148078,-150.51351536857,-0.198261438028782,254.271222057615,-0.00822906677911967,-111.259144951247,-0.154722105725502
-147.361680431156,-0.203754919165373,-147.848397785731,-0.198954379665858,256.762242214782,-0.00409044147020147,-109.996955122053,-0.143092981466091
-144.697739179444,-0.203652287301217,-145.184456534019,-0.197787476494188,259.252204217588,-0.00441265986673381,-108.735064650774,-0.163342905046692
-142.034973437028,-0.202443340288366,-142.521690791603,-0.196989603742903,261.741108763762,-4.24642485543633E-4,-107.473473343838,-0.145806501582396
-139.373382382995,-0.203313239919394,-139.86009973757,-0.198061482882677,264.228956550343,0.00145035289918034,-106.212181008137,-0.148591458221735
-136.712965197317,-0.202200018249957,-137.199682551893,-0.195847434693689,266.715748273662,0.00399059367825521,-104.951187450992,-0.161532031668492
-134.05372106088,-0.202843805797524,-134.540438415456,-0.196855068923404,269.20148462936,0.00220025330205948,-103.690492480171,-0.166328715195189
-131.395649155452,-0.200472277225746,-131.882366510027,-0.195551985349071,271.686166312374,0.00332277948554694,-102.430095903877,-0.15859421326964
-128.738748663705,-0.202976349819108,-129.22546601828,-0.196513039500242,274.16979401696,0.00634266760082947,-101.169997530759,-0.159196038995202
-126.083018769201,-0.198813714102754,-126.569736123777,-0.193793159196604,276.652368436667,0.00231575750287835,-99.910197169899,-0.158396057861241
-123.428458656397,-0.199648823544224,-123.915176010973,-0.196823601343307,279.133890264364,0.00238834499294293,-98.6506946308142,-0.158013490136386
-120.775067510639,-0.197313147703657,-121.261784865215,-0.191479502851191,281.614360192216,1.17255416866442E-4,-97.3914897234554,-0.163827242835864
-118.122844518157,-0.19920938207536,-118.609561872732,-0.193033437108062,284.093778911717,0.00648105660761549,-96.1325822582194,-0.167490264793215
-115.471788866076,-0.195781703200176,-115.958506220651,-0.191589891256507,286.572147113654,0.010043430515061,-94.8739720459277,-0.164507703846908
-112.821899742405,-0.199338352093204,-113.30861709698,-0.193079395895002,289.049465488133,0.0111943664451886,-93.6156588978276,-0.182275351768043
-110.173176336039,-0.194363580373838,-110.659893690614,-0.190099076868145,291.525734724577,0.0144767021866402,-92.3576426256093,-0.171566968743731
-107.525617836754,-0.195640691043605,-108.01233519133,-0.191531086845886,294.000955511723,0.0214187000686052,-91.0999230413935,-0.178826604935958
-104.879223435204,-0.193769072220183,-105.365940789779,-0.189395438940503,296.475128537616,0.0202761384095175,-89.8424999577166,-0.17451828912765
-102.233992322938,-0.196279198081141,-102.720709677513,-0.190347022592647,298.948254489627,0.0261888608226147,-88.5853731875525,-0.188284894732278
-99.5899236923622,-0.194031294620713,-100.076641046938,-0.188337043507674,301.420334054436,0.0320128228186502,-87.3285425443052,-0.174538920987485
-96.9470167367808,-0.194378327164044,-97.4337340913561,-0.188981171774769,303.891367918054,0.0286449803850947,-86.0720078417943,-0.195347959932721
-94.3052706503583,-0.191343434519711,-94.7919880049336,-0.186775485834921,306.361356765801,0.0293832160126003,-84.8157688942707,-0.170452389061445
-91.6646846281444,-0.193134139186388,-92.1514019827198,-0.188478563659789,308.830301282318,0.0231583102592147,-83.5598255164061,-0.208256064320149
-89.0252578660572,-0.191076978051689,-89.5119752206325,-0.187536534464994,311.298202151579,0.0200726520503666,-82.3041775233006,-0.18184185308591
-86.3869895608857,-0.19047140980538,-86.873706915461,-0.186568897981165,313.765060056873,0.0170392148416021,-81.0488247304613,-0.195440292385027
-83.7498789102929,-0.191900158048242,-84.2365962648683,-0.187590083084487,316.230875680814,0.0103287699102828,-79.7937669538341,-0.191478883446455
-81.113925112807,-0.191051283862639,-81.6006424673823,-0.186247690222529,318.695649705336,0.00800563885675475,-78.539004009771,-0.186972044828795
-78.4791273678181,-0.190338865783796,-78.9658447223934,-0.186830713620908,321.159382811713,0.00505616967670028,-77.2845357150455,-0.197223266253266
-75.8454848755998,-0.18976826481732,-76.3322022301752,-0.186843223411289,323.622075680535,0.00472447505618459,-76.0303618868476,-0.204146983160544
-73.212996837271,-0.189389565312922,-73.6997141918464,-0.185913905506854,326.083728991728,0.00222257034873303,-74.776482342786,-0.203142003775412
-70.5816624548223,-0.189119502642928,-71.0683798093976,-0.184368367082453,328.544343424538,-0.00126905985802675,-73.5228969008815,-0.199344593437778
-67.9514809311075,-0.190162274580983,-68.4381982856828,-0.186417151705104,331.003919657552,-2.81687881677077E-4,-72.2696053795673,-0.213515592680197
-65.3224514698335,-0.186041673656366,-65.8091688244088,-0.183323757606541,333.462458368684,-0.00110338376826028,-71.0166075976972,-0.201565784794156
-62.6945732755794,-0.187684572339543,-63.1812906301548,-0.184663447010442,335.919960235179,0.00127609230674873,-69.7639033745236,-0.20983138776158
-60.0678455537622,-0.184713448293472,-60.5545629083375,-0.182491176483824,338.376425933622,-0.00365964464352885,-68.5114925297262,-0.211987824699777
-57.4422675106705,-0.187971780568018,-57.9289848652459,-0.184540263356444,340.831856139924,-0.00341100428063368,-67.2593748833769,-0.223123609846639
-54.8178383534436,-0.185117922482498,-55.304555708019,-0.182169297058591,343.28625152934,-0.00285898816666795,-66.0075502559652,-0.208459512598545
-52.1945572900681,-0.186440191172493,-52.6812746446434,-0.183034168552986,345.739612776455,-0.00313313038450058,-64.756018468392,-0.2234283459756
-49.5724235293862,-0.183314934190356,-50.0591408839616,-0.180210834801653,348.1919405552,-0.00168858826958736,-63.504779341953,-0.208424058406464
-46.9514362810967,-0.185908614463072,-47.438153635672,-0.180862435359646,350.643235538839,-6.90100351847933E-4,-62.2538326983622,-0.230651012446808
-44.3315947557312,-0.183066991705671,-44.8183121103066,-0.180755875453937,353.093498399974,0.00127172761254403,-61.0031783597271,-0.229004114706986
-41.7128981646925,-0.184479238354689,-42.1996155192679,-0.18111731604177,355.542729810561,0.0039979577662501,-59.7528161485621,-0.230451330028194
-39.0953457201993,-0.180766878812231,-39.5820630747746,-0.178734058245181,357.990930441879,-0.00287638034782119,-58.5027458877874,-0.213161900374087
-36.4789366353447,-0.182917688504387,-36.96565398992,-0.178840231942597,360.438100964571,-3.50401753617776E-4,-57.2529674007252,-0.230000000918502
-33.8636701240448,-0.181264647378166,-34.3503874786202,-0.177765313511467,362.884242048603,0.00459096092353454,-56.0034805110846,-0.222001911770864
-31.2495454010642,-0.182050783308926,-31.7362627556395,-0.178792392489182,365.329354363302,0.00193501312145289,-54.7542850429887,-0.238607424548702
-28.6365616820104,-0.178500252079957,-29.1232790365857,-0.176011340150167,367.773438577336,0.00418660096922724,-53.5053808209526,-0.220103206602048
-26.0247181833276,-0.180851688955034,-26.511435537903,-0.177170485572635,370.21649535872,0.00567878987255681,-52.2567676698804,-0.228664199936659
-23.4140141222941,-0.177501446827551,-23.9007314768694,-0.175789035298028,372.658525374818,0.00495700283882502,-51.0084454150972,-0.227049633480807
-20.8044487170334,-0.1784769727583,-21.2911660716087,-0.176143087553286,375.099529292343,0.00715618382569039,-49.7604138822978,-0.225318922398305
-18.1960211864953,-0.176536546313326,-18.6827385410707,-0.173640575352294,377.539507777359,-0.00361054453415342,-48.512672897573,-0.234173423170214
-15.5887307504677,-0.174082944448454,-16.075448105043,-0.172323319612752,379.978461495283,8.28511586945926E-4,-47.2652222874256,-0.244944953233532
-12.9825766295713,-0.170078450348041,-13.4692939841467,-0.167635254678175,382.416391110874,-9.11497642034948E-4,-46.0180618787274,-0.248216497992887
-10.3775580452502,-0.156842723164174,-10.8642753998255,-0.157844001268375,384.853297288262,-0.00129807691071641,-44.7711914987563,-0.239707468930738
-7.77367421979031,-0.122511181318998,-8.26039157436563,-0.127299190326067,387.289180690916,-0.00476761012216407,-43.524610975171,-0.240392763560585
-5.17092437629484,-0.0159743367293023,-5.65764173087016,-0.0435619950620416,389.724041981672,-0.00374285851649795,-42.2783201360247,-0.234969121786802
-2.56930773869966,0.352714082341054,-3.05602509327498,0.344743930132166,392.157881822715,-0.00264901024771959,-41.0323188097563,-0.249441091298402
0.0311764682314317,0.312234433008133,-0.455540886343893,0.264076788552437,394.590700875587,3.18813626177339E-4,-39.7866068251928,-0.246888963532516
2.63052901892615,0.26976519053014,2.14381166435082,0.18051630877024,397.022499801196,-0.00128666726994365,-38.5411840115409,-0.27760910246886
5.22875068696975,-0.0165345869704188,4.74203333239443,0.0341111317891136,399.453279259801,-0.00216630968771324,-37.2960501984018,-0.256418999846426
7.82584224513743,-0.146081687687068,7.33912489056211,-0.140477524054228,401.883039911025,0.00476070452657986,-36.051205215752,-0.257585819351889
10.4218044653751,-0.159982936225026,9.93508711079974,-0.156786395043799,404.311782413856,0.00466673714975749,-34.8066488939547,-0.247293449020545
13.0166381188297,-0.162854938014218,12.5299207642544,-0.161272086832521,406.739507426633,0.00321119228823192,-33.5623810637549,-0.267812172324273
15.6103439758065,-0.15196726689108,15.1236266212312,-0.15062573467732,409.166215607079,0.00696288999564416,-32.318401556276,-0.246159006724172
18.2029228058102,-0.145555230496517,17.7162054512348,-0.145340104762526,411.591907612257,0.0056588165291056,-31.0747102030212,-0.264627104564515
20.7943753775238,-0.135283608144169,20.3076580229485,-0.13436010222497,414.016584098614,0.0110398837834576,-29.8313068358729,-0.249912466722658
23.3847024588267,-0.13412671762273,22.8979851042514,-0.130464587083892,416.440245721955,0.00967753357478503,-28.5881912870905,-0.274462933285129
25.9739048167732,-0.130852769205714,25.4871874621979,-0.128169519111568,418.862893137456,0.00870653734762052,-27.345363389318,-0.255450714631596
28.5619832176177,-0.128647053478623,28.0752658630424,-0.127796215212456,421.284526999654,0.0174315486542433,-26.102822975559,-0.262326899040422
31.148938426797,-0.112104543730769,30.6622210722217,-0.111325732843671,423.705147962467,0.0154123566475629,-24.860569879208,-0.255389978661352
33.7347712089483,-0.0727790239209036,33.2480538543729,-0.0752428209083633,426.124756679176,0.0178705672782336,-23.6186039340205,-0.260215973895427
36.3194823278932,0.0111605994357711,35.8327649733179,0.0065260790046828,428.543353802436,0.0193638199268057,-22.3769249741275,-0.279694424359858
38.9030725466557,0.099692399021354,38.4163551920804,0.104624313699467,430.960939984269,0.0119491892140189,-21.1355328340445,-0.270699025322008
41.4855426274502,0.158443683650311,40.9988252728749,0.170351239315548,433.377515876081,0.0135018330555145,-19.8944273486337,-0.27111225954526
44.0668933316933,0.195238889307824,43.580175977118,0.213502443086499,435.79308212864,0.0203766525152008,-18.6536083531488,-0.27173133015311
46.647125419994,0.227780789027976,46.1604080654187,0.245517750502591,438.207639392097,0.0200301765135791,-17.4130756832044,-0.280046876687747
49.2262396521712,0.241718453766205,48.7395222975959,0.263591240769034,440.621188315979,0.0189058731363783,-16.1728291747796,-0.274549616947764
51.8042367872347,0.244155344748723,51.3175194326594,0.269186592943645,443.033729549183,0.0225601747721649,-14.9328686642234,-0.266368608050048
54.3811175834022,0.241140093025844,53.8944002288269,0.265035626203836,445.44526374,0.0268144158698135,-13.6931939882506,-0.265884396554954
56.9568827980899,0.235347437919072,56.4701654435146,0.258809344010773,447.855791536079,0.0284596551817126,-12.4538049839355,-0.288185818176206
59.531533187926,0.22929705206512,59.0448158333507,0.251987545420614,450.265313584467,0.0350612602993677,-11.2147014887289,-0.26392833091216
62.1050695087478,0.217694660689559,61.6183521541725,0.237797681796472,452.673830531582,0.0319198816935321,-9.97588334042401,-0.288032726791097
64.6774925155869,0.210773232167347,64.1907751610116,0.229256164841491,455.081343023226,0.0382766261540296,-8.73735037720059,-0.279490310167233
67.2488029626951,0.200539056358691,66.7620856081198,0.222999254651577,457.487851704588,0.0384400722709731,-7.49910243757852,-0.280356595692149
69.8190016035294,0.192067105880601,69.3322842489541,0.212361919620449,459.893357220239,0.0518825841215022,-6.26113936045066,-0.256601919596504
72.3880891907655,0.181428310990872,71.9013718361901,0.203301002885547,462.297860214129,0.054919769255767,-5.02346098505853,-0.262482057055898
74.9560664762806,0.178700364091167,74.4693491217052,0.200564414875293,464.701361329603,0.0689374848311855,-3.78606715101044,-0.164444292738466
77.5229342111764,0.17047870656869,77.0362168566011,0.186794158166334,467.103861209385,0.0807484778623293,-2.54895769826456,-0.0229512103932586
80.0886931457618,0.16787058538897,79.6019757911865,0.185033233055749,469.505360495594,0.0832102650194682,-1.31213246714338,0.510125708073487
82.6533440295738,0.161569552398855,82.1666266749985,0.179836531798477,471.90585982973,0.0770411282261294,-0.0755912983149152,0.559296309604374
85.2168876113494,0.159034070430284,84.730170256774,0.17557044140384,474.305359852689,0.0636359299448733,1.16066596719285,0.49974911107339
87.7793246390648,0.15282794172867,87.2926072844894,0.168027659096156,476.703861204755,0.0600755092722301,2.3966394879978,0.127053438376939
90.3406558599001,0.15279577569501,89.8539385053247,0.166454615924584,479.101364525604,0.0483528210223883,3.6323294223714,-0.220272463629142
92.900882020271,0.145546939451805,92.4141646656956,0.159189047213393,481.497870454303,0.0460431705027292,4.86773592822978,-0.282271787978787
95.4600038658008,0.137563178565663,94.9732865112255,0.153568792999676,483.893379629312,0.0406478860557516,6.10285916313591,-0.278236301822822
98.0180221413595,0.130259476535313,97.5313047867842,0.142914783845263,486.287892688492,0.0375469433382223,7.33769928431462,-0.287890749284853
100.574937591021,0.124107698449134,100.088220236446,0.136350955603577,488.681410269092,0.0422708806299439,8.57225644863087,-0.290581846461671
103.130750958092,0.114313044604919,102.644033603517,0.126481478222655,491.073933007757,0.0384385868126955,9.80653081260104,-0.285667192784832
105.685462985114,0.107057535278154,105.198745630539,0.121039652240589,493.465461540535,0.0372894762822589,11.0405225324062,-0.275822707179234
108.239074413854,0.0982680297380295,107.752357059279,0.10868667921922,495.855996502863,0.0354840788581807,12.2742317638758,-0.307598503869833
110.791585985307,0.0925282280289085,110.304868630731,0.104289504692229,498.245538529587,0.0378196763346385,13.5076586624972,-0.281258886510579
113.342998439699,0.0856373958765528,112.856281085123,0.0974754554554408,500.634088254951,0.0355375039364643,14.7408033834049,-0.277705384481424
115.893312516497,0.0814188962278676,115.406595161922,0.0907968813713874,503.021646312588,0.0429758419920315,15.9736660813995,-0.281956489072393
118.442528954395,0.0750227416111853,117.95581159982,0.0841785557811386,505.408213335554,0.0425218830857492,17.2062469109456,-0.261372988387925
120.990648491326,0.0690181818907742,120.503931136751,0.0775065808214067,507.793789956288,0.0441809514428826,18.4385460261544,-0.277380946476293
123.537671864457,0.0639213708229797,123.050954509882,0.0732580712999618,510.178376806642,0.0444027189371248,19.6705635807983,-0.27229958461648
126.083599810195,0.058106374168054,125.59688245562,0.0666969675059119,512.561974517873,0.0475491566710559,20.9022997283184,-0.264749862408342
128.628433064189,0.0530548539381948,128.141715709613,0.0629053927708122,514.944583720637,0.0525337690372904,22.1337546218163,-0.259119052421502
131.172172361321,0.051885559047919,130.685455006746,0.057686778390793,517.326205045003,0.0531774638153789,23.3649284140536,-0.248558157917747
133.714818435723,0.0484497863421926,133.228101081148,0.0562500415593707,519.706839120447,0.0529212279757956,24.5958212574527,-0.250189693705172
136.256372020762,0.0431249594704755,135.769654666187,0.0529499630549789,522.08648657585,0.0554504777919416,25.826433304108,-0.253419308830628
138.796833849058,0.0440353322789916,138.310116494483,0.0501787674232835,524.4651480395,0.0543908261296223,27.056764705777,-0.2550364241306
141.336204652472,0.0377514408225799,140.849487297896,0.0459332804015278,526.842824139104,0.0549661441205331,28.2868156138825,-0.274945812951765
143.874485162105,0.0359158638949828,143.38776780753,0.0449022805700489,529.219515501767,0.057888400490521,29.5165861795089,-0.248725394239593
146.41167610832,0.0343776819114777,145.924958753744,0.0396985226155853,531.595222754023,0.0538317453403458,30.7460765534271,-0.267336319200888
148.947778220714,0.0345464610182768,148.461060866139,0.0404690165571862,533.969946521793,0.0586753334396768,31.9752868860553,-0.243884037053121
151.482792228148,0.0289361143128675,150.996074873572,0.0348540286293858,536.343687430442,0.0572342903645861,33.2042173274986,-0.255096953437807
154.016718858726,0.0295610336965444,153.530001504151,0.0337012535448044,538.716446104729,0.0631260463910902,34.4328680275251,-0.209478935433691
156.549558839804,0.0231415635351933,156.062841485229,0.0293880877175084,541.088223168833,0.0617017032950205,35.6612391355791,-0.173485341344878
159.081312898001,0.0230683568302077,158.594595543426,0.0306300895116641,543.45901924635,0.0646792072863328,36.8893308007759,-0.0589369111021953
161.611981759177,0.0182094142252948,161.125264404602,0.0249675811720837,545.828834960297,0.0605057208426247,38.1171431719019,-0.0380181369547677
164.141566148464,0.0199020611891335,163.654848793889,0.0238704893474014,548.197670933101,0.0639425513865723,39.3446763974209,0.0401596252666411
166.670066790237,0.0141452849746371,166.183349435661,0.020109540510194,550.565527786619,0.0631608803877001,40.5719306254775,0.0623761916190697
169.19748440814,0.0175094950975939,168.710767053565,0.0232632439723464,552.932406142112,0.0605481535296545,41.7989060038866,0.104396992621119
171.723819725069,0.0140846627473476,171.237102370493,0.0214533207834668,555.298306620277,0.0621809692683822,43.0256026801412,0.151775102302795
174.24907346319,0.0143813020391849,173.762356108615,0.0186721676944622,557.663229841231,0.0631918693326906,44.2520208014178,0.201407572758247
176.773246343925,0.0119288703788051,176.28652898935,0.017971841922729,560.027176424498,0.0639390091399102,45.4781605145606,0.235208506471033
179.296339087963,0.0134476317975056,178.809621733388,0.0192932515003856,562.39014698905,0.0623810205052658,46.7040219661091,0.32423515387854
181.818352415249,0.0143871520554418,181.331635060673,0.0188417509166066,564.752142153257,0.0698951883492533,47.9296053022744,0.363079033088864
184.339287045004,0.0144699538335311,183.852569690429,0.0208182264321091,567.113162534933,0.0689598466915643,49.154910668949,0.410918770588229
186.859143695718,0.013696036125579,186.372426341143,0.0189197628929593,569.473208751313,0.0703284508224182,50.3799382117158,0.43725549466497
189.377923085134,0.0126647690182559,188.891205730559,0.0180855382860372,571.832281419055,0.0756379986169238,51.6046880758378,0.463491734580731
191.895625930281,0.0102551700620454,191.408908575706,0.0150141853466663,574.190381154248,0.0779829773337346,52.8291604062564,0.473468369717049
194.412252947451,0.00910873591641287,193.925535592875,0.0135669894069446,576.547508572415,0.0723573754374672,54.0533553476135,0.508171823873859
196.927804852202,0.00873715725223638,196.441087497627,0.0124038486177001,578.903664288496,0.0811264755742668,55.2772730442192,0.497186810893583
199.442282359377,0.00570537324657284,198.955565004801,0.0100277640104783,581.258848916867,0.0796467305977434,56.5009136400845,0.467909271803959
201.955686183086,0.0068446629064069,201.468968828511,0.0133230547914042,583.613063071341,0.0823791168333499,57.7242772789019,0.428150747918121
204.468017036716,0.00782098020932457,203.981299682141,0.0117665965373975,585.966307365158,0.0848991453815728,58.9473641040566,0.326972888013984
206.979275632928,0.00974420927678714,206.492558278352,0.0149347502767099,588.318582410987,0.0816796031038305,60.1701742586264,0.279843152858635
209.489462683663,0.00986741681731683,209.002745329087,0.0135198384117933,590.669888820941,0.0844956035005622,61.3927078853714,0.223302694849259
211.998578900139,0.0165091131380184,211.511861545564,0.0198719363523359,593.020227206559,0.080960429905337,62.6149651267471,0.193949976339378
214.506624992851,0.0115229201020838,214.019907638276,0.0170371129042669,595.369598178818,0.0858018869433699,63.8369461249079,0.154329985575838
217.013601671587,0.0152805080984027,216.526884317012,0.0209064729282427,597.718002348131,0.0867494950584517,65.0586510216914,0.159768966339459
219.519509645404,0.0118719137189776,219.032792290829,0.0154556686528296,600.065440324353,0.0847233871008285,66.2800799586404,0.136534748139298
222.02434962265,0.00870548827878105,221.537632268074,0.0134399279278233,602.411912716767,0.0854335618501401,67.5012330769883,0.140594987934552
224.528122310947,0.00144170023318926,224.041404956372,0.00706362637648834,604.757420134107,0.0878475458172463,68.7221105176507,0.112236203818618
227.030828417216,0.0029550136104341,226.544111062641,0.00853176204712964,607.10196318454,0.081260880981883,69.9427124212713,0.111172245099054
229.53246864766,-7.83307265778953E-4,229.045751293085,0.00382746586942976,609.44554247567,0.0856073947484248,71.1630389281631,0.110007101860445
232.033043707767,-3.39313551777382E-4,231.546326353192,0.00334384729090666,611.788158614549,0.0879660225414862,72.3830901783497,0.101250421592595
234.532554302311,-0.00416474746757687,234.045836947736,4.65266764573687E-4,614.129812207673,0.0941298459648324,73.6028663115575,0.094211851702646
237.031001135373,-4.00548551667585E-4,236.544283780797,0.00286592659656327,616.470503860974,0.0894768078827099,74.8223674672022,0.126988178782448
239.528384910299,-0.00346952374766103,239.041667555723,0.00115217438900505,618.810234179832,0.092734994928874,76.0415937844136,0.0986660314304161
242.02470632975,-0.00180125788872781,241.537988975175,-1.40778637765288E-5,621.149003769072,0.0944460486124218,77.2605454020166,0.0975311987705296
244.519966095669,-0.00276526666285869,244.033248741094,0.00102323899943187,623.486813232964,0.1009182760274,78.4792224585331,0.108494833607781
247.014164909299,-0.0022661352061392,246.527447554723,0.00174404004200872,625.823663175221,0.0951975876614633,79.6976250922074,0.098168765720168
249.507303471171,-0.00176885741169168,249.020586116596,0.00130257090381271,628.159554199015,0.101903866167979,80.9157534409707,0.0998340105451423
251.999382481124,7.74263964719303E-4,251.512665126548,8.3570222424262E-5,630.494486906952,0.107046088514116,82.1336076424625,0.108781865603261
254.490402638291,-1.52834803347971E-4,254.003685283716,0.00275217356138587,632.828461901098,0.108743121756844,83.351187834035,0.0954770428136003
256.980364641096,-0.00150906119824561,256.493647286521,0.00163956873081175,635.161479782958,0.109253456661412,84.5684941527497,0.0919162444311197
259.469269187271,0.00182761704673084,258.982551832696,0.00353980549601605,637.493541153498,0.113941265893832,85.7855267353717,0.0898593329670343
261.957116973852,0.00115583779018576,261.470399619277,0.00402956431414209,639.824646613128,0.114735688980687,87.0022857183688,0.0955130595883931
264.44390869717,0.00272973566241712,263.957191342595,0.00483906660524724,642.154796761722,0.120362524949986,88.2187712379259,0.0678913736368504
266.929645052868,0.0021042945667641,266.442927698293,0.00349443782815532,644.483992198584,0.125669644591537,89.43498342994,0.0612500617692852
269.414326735883,0.00622727086562951,268.927609381308,0.00937215129404294,646.812233522503,0.120077236974473,90.6509224300184,0.0896077436823566
271.897954440469,0.00542064679743829,271.411237085894,0.00900019597552152,649.139521331696,0.118563132205329,91.8665883734719,0.0700292740487803
274.380528860176,0.0115267245244208,273.8938115056,0.0125707157880406,651.465856223851,0.110720061045479,93.0819813953423,0.0692905110988152
276.862050687873,0.0118374968276692,276.375333333298,0.0130693726143662,653.791238796106,0.111064995884138,94.2971016303662,0.0788308346394435
279.342520615725,0.0151875749454095,278.85580326115,0.0171934936798524,656.115669645059,0.107409751553675,95.5119492130063,0.0939413584907459
281.821939335225,0.0167156879380851,281.33522198065,0.017427945202618,658.439149366765,0.109938744271273,96.726524277446,0.0763112792644042
284.300307537162,0.0237248264563599,283.813590182587,0.024252881735162,660.761678556738,0.118336839776642,97.9408269575662,0.103525287932128
286.777625911642,0.0274359282553845,286.290908557067,0.0255836883483107,663.083257809948,0.115919576374723,99.1548573869817,0.0982127964282748
289.253895148086,0.0367057227463057,288.76717779351,0.0341884846926174,665.403887720838,0.122665156679283,100.368615699025,0.0893384732267574
291.729115935232,0.0471058643412502,291.242398580656,0.0416214746990918,667.723568883295,0.116113965730249,101.582102026735,0.107865223185057
294.203288961125,0.0709226670593993,293.71657160655,0.0627066130412534,670.042301890679,0.113729245291211,102.795316502883,0.0990019392340862
296.676414913135,0.0922238903410649,296.18969755856,0.0798505461220356,672.360087335814,0.12010718609867,104.008259259953,0.0952091902960587
299.148494477945,0.094960844696143,298.66177712337,0.0875026253768134,674.676925810981,0.121158524907935,105.220930430156,0.0928131160854748
