freq_c0,c0,fre_c1,c1,freq_c2,c2,freq_c5,c5,freq_c10,c10,freq_t0,t0,freq_t1,freq_t1,freq_t2,t2,freq_t5,t5,freq_t10,t10
228.52762,0.005551766,231.05067,0.004977409,231.05067,0.004492117,230.8404,0.006225737,230.41985,0.005926884,229.15833,0.003236706,231.26096,0.006832979,231.47124,0.01112412,230.63012,0.008411095,230.63012,0.006769689
230.49729,0.004631426,233.02034,0.003954743,233.02034,0.004736954,232.81006,0.003207828,232.38952,0.00466764,231.12799,0.003131659,233.23062,0.009178988,233.44091,0.003111391,232.59979,0.005040564,232.59979,0.00475923
232.4665,0.002843567,234.98955,9.25E-04,234.98955,0.001153072,234.77927,0.001054018,234.35873,0.00133986,233.09721,-1.24E-04,235.19983,7.78E-04,235.41012,4.03E-04,234.569,0.002446889,234.569,0.00245959
234.43527,0.003034521,236.95832,0.003380576,236.95832,0.003312484,236.74804,0.003990778,236.3275,0.00278241,235.06597,0.005491609,237.1686,0.004266843,237.37889,0.007272389,236.53777,0.005115539,236.53777,0.002901633
236.40358,0.004406181,238.92663,0.004223265,238.92663,0.001903971,238.71636,0.002732566,238.29581,0.003481155,237.03429,0.004921139,239.13692,0.006544889,239.3472,0.007754858,238.50608,0.006750953,238.50608,0.007522179
238.37145,3.32E-04,240.8945,-7.08E-04,240.8945,0.001011696,240.68422,-4.80E-06,240.26368,3.74E-04,239.00216,-1.56E-04,241.10478,-0.001086717,241.31507,5.35E-04,240.47395,0.004819792,240.47395,-2.51E-04
240.33887,0.003525249,242.86192,0.002196277,242.86192,0.003248115,242.65164,0.004062308,242.2311,0.00384603,240.96958,0.003533318,243.07221,0.005907008,243.28249,0.010882588,242.44137,0.005509606,242.44137,0.006205684
242.30584,3.72E-04,244.82889,0.00202511,244.82889,5.07E-04,244.61862,0.002309438,244.19807,0.002095076,242.93655,0.00113004,245.03918,0.004569546,245.24946,0.006833889,244.40834,0.001968748,244.40834,0.002274557
244.27237,0.001126227,246.79542,0.001170288,246.79542,4.61E-04,246.58514,-0.00167653,246.1646,3.26E-04,244.90307,-0.00142856,247.0057,0.002504436,247.21599,0.002309553,246.37487,-2.72E-04,246.37487,0.001614401
246.23844,7.28E-04,248.76149,4.39E-04,248.76149,7.42E-04,248.55122,-5.24E-04,248.13067,4.18E-04,246.86915,-0.001692472,248.97178,5.29E-05,249.18206,0.003549297,248.34094,2.47E-04,248.34094,0.002403789
