xc,xoop,xip,ip,oop,complete
0.026275506,0.026275506,0.011513334,0,0,12.01541505
0.078826517,0.078826517,0.034540001,0,0,12.402177
0.13137753,0.13137753,0.057566669,11.0000121,0,13.1018398
0.18392855,0.18392855,0.080593333,11.09747155,0,13.53609365
0.23647955,0.23647955,0.10362001,11.4736367,0,13.67788315
0.28903058,0.28903058,0.12664667,12.29811825,0,14.0487872
0.34158158,0.34158158,0.14967334,12.67161375,15.87563925,13.8301792
0.39413258,0.39413258,0.1727,12.62888375,16.150303,13.9783523
0.44668362,0.44668362,0.19572668,12.4724247,16.82714115,14.39361985
0.49923462,0.49923462,0.21875334,12.34620855,15.28585655,14.7528502
0.55178565,0.55178565,0.24178001,11.767726,17.45794705,15.27766175
0.60433662,0.60433662,0.26480669,11.71174255,19.40175915,15.655858
0.65688765,0.65688765,0.28783333,12.83196725,20.61193375,16.3830953
0.70943868,0.70943868,0.31086001,13.58491125,20.9659901,17.1132226
0.76198965,0.76198965,0.33388668,12.93551225,24.731997,17.99389365
0.81454068,0.81454068,0.35691336,11.69985195,29.6471049,18.5921979
0.86709172,0.86709172,0.37994,12.1426893,31.39316495,19.12419605
0.91964275,0.91964275,0.40296668,13.5178967,37.34356115,20.28158985
0.97219372,0.97219372,0.42599335,13.0229849,42.1204655,21.781965
1.0247447,1.0247447,0.44902003,11.93658405,53.19221485,23.82979
1.0772958,1.0772958,0.47204667,12.1583304,71.6449415,26.33781925
1.1298468,1.1298468,0.49507335,12.1328952,119.0907395,31.00781175
1.1823977,1.1823977,0.51810002,11.92745885,254.05085,45.0628765
1.2349488,1.2349488,0.54112667,11.9296876,1673.490556,127.635113
1.2874998,1.2874998,0.56415337,11.46782985,18994.42226,901.9911785
1.3400508,1.3400508,0.58718002,11.78664945,28283.5409,1326.92285
1.3926018,1.3926018,0.61020666,11.92364335,23849.7519,1176.270425
1.4451529,1.4451529,0.63323337,12.57504285,20793.975595,1045.71274
1.4977039,1.4977039,0.65626001,13.02599565,18037.21044,919.968425
1.5502548,1.5502548,0.67928672,12.29891935,15649.682305,809.23686
1.6028059,1.6028059,0.70231336,12.0502339,13690.983785,722.94085
1.6553569,1.6553569,0.72534001,12.02072635,12216.89219,661.616195
1.7079079,1.7079079,0.74836671,12.1538982,10111.87061,598.994485
1.7604589,1.7604589,0.77139336,12.01741975,9198.649725,553.30482
1.81301,1.81301,0.79442,11.15259135,8268.28861,515.85565
1.8655609,1.8655609,0.81744671,11.4819969,7590.781955,487.53219
1.9181119,1.9181119,0.84047335,12.0975231,7092.59087,477.842995
1.970663,1.970663,0.86350006,12.033604,6735.75986,472.338585
2.0232139,2.0232139,0.8865267,11.76592835,6382.775535,459.92253
2.0757649,2.0757649,0.90955335,12.1277691,6180.627365,458.40221
2.1283159,2.1283159,0.93258005,11.4519554,6429.20567,477.11224
2.180867,2.180867,0.9556067,13.02686565,6883.92454,503.03354
2.233418,2.233418,0.97863334,13.58320775,7378.68741,535.76462
2.285969,2.285969,1.00166,12.13253605,8350.567415,594.156675
2.3385201,2.3385201,1.0246867,11.57882015,10999.36465,738.61231
2.3910711,2.3910711,1.0477134,11.7772921,16603.89153,1055.243695
2.4436221,2.4436221,1.07074,12.43978385,25284.679785,1525.437305
2.4961731,2.4961731,1.0937667,12.9373751,34686.33331,1981.257375
2.5487242,2.5487242,1.1167934,12.7118019,37698.74135,2093.3056
2.6012752,2.6012752,1.1398201,13.0819335,32080.368485,1788.90654
2.6538262,2.6538262,1.1628467,13.15548515,22072.44957,1281.744165
2.706377,2.706377,1.1858734,13.33098295,13757.43669,866.19675
2.7589281,2.7589281,1.2089001,12.9569369,10375.17621,690.479455
2.8114791,2.8114791,1.2319267,12.5743901,10466.127345,683.65443
2.8640301,2.8640301,1.2549534,12.44076865,10909.12368,681.41363
2.9165812,2.9165812,1.2779801,12.34059265,9581.05503,616.76308
2.9691322,2.9691322,1.3010067,12.55237145,6846.79748,483.237685
3.0216832,3.0216832,1.3240334,12.7310212,4001.05265,343.01368
3.0742342,3.0742342,1.3470601,12.83978495,1921.09293,244.632955
3.1267853,3.1267853,1.3700867,13.03265595,1010.105945,198.2234
3.1793363,3.1793363,1.3931134,13.7396988,806.88635,186.939645
3.2318873,3.2318873,1.4161401,13.53504465,771.72328,179.173125
3.2844384,3.2844384,1.4391667,14.6322613,644.881315,170.689745
3.3369894,3.3369894,1.4621934,19.3525425,475.59334,160.0254
3.3895402,3.3895402,1.4852201,32.771829,371.584555,150.68711
3.4420912,3.4420912,1.5082468,47.929374,333.35662,143.516355
3.4946423,3.4946423,1.5312734,52.017987,325.165125,145.374985
3.5471933,3.5471933,1.5543001,57.4394795,298.15081,143.12781
3.5997443,3.5997443,1.5773268,65.4670975,252.580875,139.692025
3.6522954,3.6522954,1.6003534,62.635391,233.818205,136.185455
3.7048464,3.7048464,1.6233801,62.405,226.676045,134.068055
3.7573974,3.7573974,1.6464068,62.910565,222.060745,132.233695
3.8099484,3.8099484,1.6694334,66.89072,213.636945,129.96222
3.8624995,3.8624995,1.6924601,73.365145,211.807635,127.343825
3.9150505,3.9150505,1.7154868,77.89974,197.3336,124.794015
3.9676015,3.9676015,1.7385134,84.2629300000001,197.031725,125.22534
4.0201526,4.0201526,1.7615401,88.675495,202.17278,126.17776
4.0727034,4.0727034,1.7845668,89.41899,204.97083,124.166175
4.1252546,4.1252546,1.8075933,90.269525,199.379535,123.13544
4.1778054,4.1778054,1.8306201,92.29552,194.686665,122.479045
4.2303567,4.2303567,1.8536468,94.139715,192.77301,121.064825
4.2829075,4.2829075,1.8766735,96.8276450000001,207.78109,120.721605
4.3354588,4.3354588,1.8997,97.49512,213.541255,118.13706
4.3880095,4.3880095,1.9227268,97.056585,218.991395,118.795355
4.4405603,4.4405603,1.9457535,99.474855,235.81991,119.78015
4.4931116,4.4931116,1.96878,105.737955,246.640595,120.47394
4.5456624,4.5456624,1.9918067,108.531145,267.55538,121.996235
4.5982137,4.5982137,2.0148335,109.90649,302.81979,121.985755
4.6507645,4.6507645,2.0378602,110.105435,340.138705,124.80153
4.7033157,4.7033157,2.0608869,107.1525,386.338945,127.762205
4.7558665,4.7558665,2.0839133,113.449195,464.36659,133.60396
4.8084178,4.8084178,2.10694,119.33497,583.434285,141.63338
4.8609686,4.8609686,2.1299667,119.556595,743.268415,154.735265
4.9135199,4.9135199,2.1529934,119.5843,972.304765,170.618345
4.9660707,4.9660707,2.1760201,119.03829,1252.994845,188.726
5.0186219,5.0186219,2.1990469,118.63832,1537.62663,208.76594
5.0711727,5.0711727,2.2220733,122.22527,1741.92986,220.575365
5.1237235,5.1237235,2.2451,118.218485,1750.136665,221.798125
5.1762748,5.1762748,2.2681267,117.95797,1641.925785,210.52107
5.2288256,5.2288256,2.2911534,119.937645,1433.38954,193.873245
5.2813768,5.2813768,2.3141801,119.967635,1191.856915,176.215765
5.3339276,5.3339276,2.3372068,123.293675,977.548105,159.928245
5.3864789,5.3864789,2.3602333,125.021835,824.482965,147.828605
5.4390297,5.4390297,2.38326,129.029915,741.34656,140.959635
5.491581,5.491581,2.4062867,127.082825,654.596775,134.52937
5.5441318,5.5441318,2.4293134,125.3306,548.26584,126.80343
5.596683,5.596683,2.4523401,126.56882,436.46902,118.278095
5.6492338,5.6492338,2.4753668,127.38553,321.88863,108.92518
5.7017851,5.7017851,2.4983935,126.06961,251.087125,103.82102
5.7543359,5.7543359,2.52142,122.99817,207.580875,99.18413
5.8068867,5.8068867,2.5444467,124.307925,176.35558,96.1492250000001
5.8594379,5.8594379,2.5674734,129.39625,162.525095,93.757425
5.9119887,5.9119887,2.5905001,131.16633,149.23542,92.485565
5.96454,5.96454,2.6135268,132.282515,139.64662,91.16844
6.0170908,6.0170908,2.6365535,133.218025,123.45239,89.6026950000001
6.0696421,6.0696421,2.65958,133.0828,123.29742,89.335735
6.1221929,6.1221929,2.6826067,128.51501,117.818495,88.257335
6.1747441,6.1747441,2.7056334,129.482865,115.3547,86.388655
6.2272949,6.2272949,2.7286601,131.614915,111.899125,84.06242
6.2798462,6.2798462,2.7516868,127.91857,108.448665,83.78896
6.332397,6.332397,2.7747135,125.79818,111.7947,85.2040550000001
6.3849483,6.3849483,2.7977402,127.41369,103.60715,83.888945
6.437499,6.437499,2.8207667,129.530125,104.427435,83.008295
6.4900498,6.4900498,2.8437934,131.87565,104.81171,81.85997
6.5426011,6.5426011,2.8668201,130.06301,102.99994,81.0401700000001
6.5951519,6.5951519,2.8898468,126.619985,101.56915,80.39465
6.6477032,6.6477032,2.9128735,129.30198,100.100895,81.757965
6.700254,6.700254,2.9359002,127.925415,101.439355,80.5788000000001
6.7528052,6.7528052,2.9589267,125.099875,97.34561,78.91692
6.805356,6.805356,2.9819534,122.08605,98.3832300000001,78.359745
6.8579073,6.8579073,3.0049801,118.348705,106.063265,78.186205
