xc,xoop,xip,ip,oop,complete
0.026275506,0.026275506,0.011513334,0,0,11.56769975
0.078826517,0.078826517,0.034540001,0,0,9.844376
0.13137753,0.13137753,0.057566669,10.0000115,0,9.852914
0.18392855,0.18392855,0.080593333,9.83760025,0,10.48297075
0.23647955,0.23647955,0.10362001,10.0208355,0,10.85274025
0.28903058,0.28903058,0.12664667,12.48385675,0,10.553388
0.34158158,0.34158158,0.14967334,11.15654125,13.76641875,11.046087
0.39413258,0.39413258,0.1727,10.85801025,12.573872,10.7632405
0.44668362,0.44668362,0.19572668,10.3921875,13.25792825,11.50136375
0.49923462,0.49923462,0.21875334,10.20755225,12.61062325,11.731955
0.55178565,0.55178565,0.24178001,10.507086,13.69619275,12.17006925
0.60433662,0.60433662,0.26480669,10.45188325,16.37363525,12.198467
0.65688765,0.65688765,0.28783333,10.72100875,16.68829125,13.1957355
0.70943868,0.70943868,0.31086001,10.78843175,16.0055445,13.149388
0.76198965,0.76198965,0.33388668,10.58218075,17.100282,13.59398575
0.81454068,0.81454068,0.35691336,10.20341025,19.1035195,14.1050605
0.86709172,0.86709172,0.37994,9.5764095,20.19018725,14.53982875
0.91964275,0.91964275,0.40296668,9.6816015,24.36858325,15.22865775
0.97219372,0.97219372,0.42599335,9.5074935,28.3566815,16.272083
1.0247447,1.0247447,0.44902003,9.47875775,38.18216875,17.712231
1.0772958,1.0772958,0.47204667,10.6719,49.0822745,19.25213975
1.1298468,1.1298468,0.49507335,9.507673,80.5623425,22.44083625
1.1823977,1.1823977,0.51810002,9.48159475,161.59875,29.9804125
1.2349488,1.2349488,0.54112667,10.971986,996.10196,78.435455
1.2874998,1.2874998,0.56415337,10.18929675,10926.3951,580.3168775
1.3400508,1.3400508,0.58718002,10.44350275,16549.7785,897.13425
1.3926018,1.3926018,0.61020666,10.59335025,14216.2825,813.607675
1.4451529,1.4451529,0.63323337,11.53829275,12376.858325,733.3171
1.4977039,1.4977039,0.65626001,11.84157775,10758.7804,655.073275
1.5502548,1.5502548,0.67928672,11.89188325,9333.484175,588.2844
1.6028059,1.6028059,0.70231336,11.1898645,8025.901975,529.85515
1.6553569,1.6553569,0.72534001,10.06196625,6967.24435,486.219725
1.7079079,1.7079079,0.74836671,9.298705,5743.99595,449.552375
1.7604589,1.7604589,0.77139336,9.55047225,5068.658675,419.1117
1.81301,1.81301,0.79442,9.59296625000001,4409.44655,390.67645
1.8655609,1.8655609,0.81744671,10.3643585,3829.733225,368.87445
1.9181119,1.9181119,0.84047335,10.7949765,3396.06685,356.041525
1.970663,1.970663,0.86350006,10.829055,3040.4425,340.920875
2.0232139,2.0232139,0.8865267,11.00264525,2703.095125,327.38915
2.0757649,2.0757649,0.90955335,11.2111065,2432.748675,317.92225
2.1283159,2.1283159,0.93258005,10.398811,2221.79385,311.134
2.180867,2.180867,0.9556067,10.05336475,2067.8136,306.7512
2.233418,2.233418,0.97863334,9.59769625,1965.48435,302.4762
2.285969,2.285969,1.00166,9.78323975,1859.010325,300.284425
2.3385201,2.3385201,1.0246867,9.62071125,1702.30995,299.08865
