Wavenumber[1/cm],120C,110C,100C,90C,80C,70C
1999.82,0.001298,0.0723,0.16670000000000001,0.2277,0.274,0.3396
2000.302,0.000717,0.0718,0.16640000000000002,0.2272,0.2742,0.3391
2000.784,0.000419,0.07150000000000001,0.16640000000000002,0.2269,0.2744,0.3387
2001.267,0.000249,0.07139999999999999,0.16670000000000001,0.2265,0.2744,0.3384
2001.749,7.63e-05,0.0713,0.1669,0.226,0.2741,0.3379
2002.231,-0.00015,0.0711,0.167,0.2253,0.2737,0.3371
2002.713,-0.000386,0.07100000000000001,0.1668,0.2243,0.2732,0.336
2003.195,-0.000537,0.07089999999999999,0.1663,0.2233,0.2726,0.3347
2003.677,-0.000524,0.07100000000000001,0.1655,0.2224,0.2721,0.3333
2004.159,-0.000319,0.07120000000000001,0.1648,0.222,0.2717,0.3323
2004.641,4.68e-05,0.07170000000000001,0.1641,0.2222,0.2717,0.332
2005.124,0.000505,0.07220000000000001,0.1636,0.2231,0.2721,0.3325
2005.606,0.000987,0.07270000000000001,0.1633,0.2246,0.2729,0.3337
2006.088,0.001442,0.0733,0.1632,0.2265,0.274,0.3353
2006.57,0.001841,0.07370000000000002,0.1633,0.2285,0.2752,0.337
2007.052,0.002163,0.0741,0.1636,0.2302,0.2763,0.3384
2007.534,0.002376,0.07440000000000002,0.1641,0.2314,0.277,0.3392
2008.016,0.002444,0.07450000000000001,0.16490000000000002,0.2319,0.2774,0.3393
2008.498,0.002308,0.07440000000000002,0.166,0.2317,0.2774,0.3389
2008.98,0.001939,0.0741,0.1671,0.231,0.2771,0.3382
2009.463,0.00134,0.0736,0.168,0.2299,0.2766,0.3375
2009.945,0.000577,0.07289999999999999,0.16870000000000002,0.2289,0.2761,0.3371
2010.427,-0.000265,0.0721,0.169,0.2282,0.2755,0.3372
2010.909,-0.001077,0.07139999999999999,0.1691,0.2281,0.2749,0.3378
2011.391,-0.001763,0.0708,0.1689,0.2285,0.2746,0.3387
2011.873,-0.002263,0.0703,0.1688,0.2295,0.2745,0.3395
2012.355,-0.002546,0.0701,0.16870000000000002,0.2307,0.2746,0.3398
2012.837,-0.002626,0.0701,0.1685,0.2318,0.275,0.3395
2013.319,-0.002532,0.0703,0.1683,0.2326,0.2755,0.3384
2013.802,-0.002298,0.0706,0.168,0.2327,0.2759,0.3367
2014.284,-0.001954,0.07100000000000001,0.16770000000000002,0.2322,0.2762,0.335
2014.766,-0.00151,0.07150000000000001,0.1675,0.2312,0.2763,0.3336
2015.248,-0.000946,0.0721,0.1676,0.2301,0.2763,0.333
2015.73,-0.000269,0.0728,0.1681,0.2293,0.2763,0.3334
2016.212,0.000509,0.07370000000000002,0.169,0.2287,0.2765,0.3347
2016.694,0.001327,0.0746,0.17,0.2286,0.2768,0.3363
2017.176,0.002075,0.07540000000000002,0.171,0.2288,0.2775,0.3379
2017.659,0.002594,0.07600000000000001,0.1718,0.2292,0.2782,0.339
2018.141,0.002748,0.07620000000000002,0.17220000000000002,0.2296,0.279,0.3396
2018.623,0.002447,0.07590000000000002,0.17220000000000002,0.2298,0.2795,0.3397
2019.105,0.0017,0.0753,0.17200000000000001,0.2299,0.2796,0.3396
2019.587,0.000622,0.0743,0.1716,0.23,0.2791,0.3396
2020.069,-0.000578,0.0731,0.1714,0.2302,0.2781,0.34
2020.551,-0.001657,0.0721,0.1713,0.2306,0.2768,0.3409
2021.033,-0.002431,0.07139999999999999,0.1714,0.2313,0.2756,0.3418
2021.515,-0.002786,0.0711,0.1718,0.2321,0.2749,0.3425
2021.998,-0.002745,0.07120000000000001,0.1721,0.233,0.2748,0.3426
2022.48,-0.002425,0.0716,0.17220000000000002,0.2336,0.2755,0.3419
2022.962,-0.001962,0.0721,0.17200000000000001,0.2341,0.2767,0.3406
2023.444,-0.001444,0.07270000000000001,0.1714,0.2342,0.2781,0.339
2023.926,-0.000868,0.0733,0.1705,0.2342,0.2795,0.3378
2024.408,-0.000162,0.0741,0.1696,0.234,0.2804,0.3375
2024.89,0.000739,0.0751,0.1688,0.2337,0.2809,0.3382
2025.372,0.0018,0.07620000000000002,0.1685,0.2335,0.281,0.3398
2025.855,0.002856,0.07730000000000001,0.16870000000000002,0.2332,0.2807,0.3417
2026.337,0.003631,0.07820000000000002,0.1693,0.2329,0.2801,0.3432
2026.819,0.003831,0.0784,0.1701,0.2325,0.2794,0.3437
2027.301,0.003301,0.07800000000000001,0.1709,0.2321,0.2785,0.343
2027.783,0.002119,0.07690000000000002,0.1713,0.2318,0.2776,0.3414
2028.265,0.000559,0.07540000000000002,0.1716,0.2317,0.2766,0.3396
2028.747,-0.000998,0.0739,0.1716,0.2322,0.2759,0.3383
2029.229,-0.002206,0.07270000000000001,0.1716,0.2331,0.2756,0.3379
2029.711,-0.002852,0.0721,0.17170000000000002,0.2343,0.2758,0.3386
2030.194,-0.00293,0.0721,0.1719,0.2356,0.2766,0.3401
2030.676,-0.002591,0.07250000000000001,0.1723,0.2365,0.2779,0.342
2031.158,-0.002009,0.07320000000000002,0.1728,0.237,0.2793,0.3437
2031.64,-0.001337,0.0739,0.1734,0.2368,0.2807,0.3449
2032.122,-0.000622,0.07470000000000002,0.1741,0.2364,0.2818,0.3454
2032.604,0.000168,0.0756,0.1748,0.2358,0.2825,0.3455
2033.086,0.001097,0.0766,0.17550000000000002,0.2356,0.283,0.3455
2033.568,0.002172,0.07770000000000002,0.1761,0.2358,0.2832,0.3455
2034.051,0.003289,0.0789,0.1766,0.2365,0.2834,0.3459
2034.533,0.004257,0.0799,0.1768,0.2375,0.2835,0.3467
2035.015,0.004854,0.0806,0.1768,0.2384,0.2835,0.3476
2035.497,0.004972,0.08080000000000001,0.1768,0.2393,0.2834,0.3483
2035.979,0.004612,0.08050000000000002,0.1768,0.2399,0.2831,0.3488
2036.461,0.00399,0.0799,0.1769,0.2403,0.2828,0.3488
2036.943,0.00339,0.0794,0.1772,0.2406,0.2826,0.3486
2037.425,0.003083,0.0791,0.1776,0.241,0.2827,0.3485
2037.907,0.0032,0.07930000000000001,0.17800000000000002,0.2413,0.2831,0.3486
2038.39,0.003696,0.0799,0.1782,0.2415,0.2836,0.3492
2038.872,0.004353,0.0806,0.1782,0.2415,0.2842,0.3502
2039.354,0.004898,0.08120000000000002,0.1779,0.2412,0.2845,0.3515
2039.836,0.005127,0.08150000000000002,0.1772,0.2408,0.2846,0.3526
2040.318,0.004989,0.0814,0.1764,0.2404,0.2844,0.3534
2040.8,0.004618,0.0811,0.1757,0.24,0.2843,0.3535
2041.282,0.004262,0.08080000000000001,0.1752,0.2398,0.2843,0.3532
2041.764,0.004142,0.08080000000000001,0.17500000000000002,0.2398,0.2847,0.3527
2042.246,0.004382,0.0811,0.1753,0.2398,0.2854,0.3522
2042.729,0.004948,0.08170000000000002,0.17600000000000002,0.2399,0.2865,0.3521
2043.211,0.005669,0.08250000000000002,0.1769,0.24,0.2875,0.3526
2043.693,0.006344,0.08320000000000002,0.17800000000000002,0.2401,0.2882,0.3535
2044.175,0.006814,0.08380000000000001,0.17900000000000002,0.2404,0.2885,0.3547
2044.657,0.007,0.08400000000000002,0.1799,0.2408,0.2885,0.3559
2045.139,0.006962,0.08410000000000001,0.1805,0.2414,0.2882,0.3569
2045.621,0.00676,0.0839,0.1809,0.2419,0.2878,0.3575
2046.103,0.006483,0.0837,0.181,0.2423,0.2877,0.3577
2046.586,0.006185,0.08350000000000002,0.1811,0.2425,0.2877,0.3575
2047.068,0.005919,0.08330000000000001,0.181,0.2424,0.288,0.3572
2047.55,0.005768,0.08320000000000002,0.1809,0.2422,0.2885,0.357
2048.032,0.005828,0.08330000000000001,0.1809,0.2422,0.2891,0.3571
2048.514,0.006181,0.0837,0.1812,0.2425,0.2899,0.3577
2048.996,0.006847,0.08450000000000002,0.1817,0.2432,0.2908,0.3586
2049.478,0.007754,0.0854,0.1824,0.2443,0.2919,0.3598
2049.96,0.008726,0.08650000000000002,0.1832,0.2456,0.2931,0.3609
2050.442,0.009529,0.08730000000000002,0.1837,0.2468,0.2941,0.3617
2050.925,0.009966,0.08780000000000002,0.18380000000000002,0.2475,0.2946,0.3619
2051.407,0.009958,0.0879,0.18330000000000002,0.2475,0.2947,0.3615
2051.889,0.009545,0.08760000000000001,0.1824,0.247,0.2943,0.3607
2052.371,0.008951,0.08700000000000002,0.18130000000000002,0.246,0.2937,0.3598
2052.853,0.008416,0.08660000000000001,0.1804,0.245,0.2932,0.359
2053.335,0.008116,0.08630000000000002,0.1799,0.2443,0.293,0.3587
2053.817,0.008106,0.0864,0.18,0.2439,0.2932,0.3589
2054.299,0.008317,0.0867,0.1805,0.2441,0.2937,0.3596
2054.782,0.008582,0.08700000000000002,0.18130000000000002,0.2446,0.2945,0.3605
2055.264,0.008733,0.0872,0.1821,0.2454,0.2953,0.3613
2055.746,0.008664,0.0872,0.1825,0.2462,0.2959,0.3619
2056.228,0.008374,0.08700000000000002,0.1826,0.2468,0.2962,0.3623
2056.71,0.007953,0.08660000000000001,0.1824,0.2471,0.2963,0.3624
2057.192,0.007545,0.08630000000000002,0.182,0.247,0.2961,0.3624
2057.674,0.007254,0.08610000000000001,0.1817,0.2468,0.2958,0.3624
2058.156,0.007133,0.08600000000000002,0.1815,0.2464,0.2955,0.3625
2058.638,0.007143,0.08610000000000001,0.1814,0.2461,0.2953,0.3627
2059.121,0.007227,0.0862,0.1815,0.246,0.2955,0.3628
2059.603,0.007332,0.0864,0.1817,0.2461,0.2958,0.363
2060.085,0.007454,0.08660000000000001,0.182,0.2463,0.2964,0.3629
2060.567,0.007628,0.08680000000000002,0.1824,0.2467,0.2972,0.3628
2061.049,0.007911,0.0872,0.1829,0.2471,0.2979,0.3626
2061.531,0.008319,0.08760000000000001,0.1836,0.2474,0.2985,0.3623
2062.013,0.008818,0.0882,0.18430000000000002,0.2477,0.2987,0.362
2062.495,0.009315,0.08880000000000002,0.185,0.2479,0.2986,0.3618
2062.978,0.009691,0.0892,0.1855,0.2482,0.2981,0.3618
2063.46,0.009867,0.08950000000000002,0.18560000000000001,0.2486,0.2975,0.362
2063.942,0.009829,0.08950000000000002,0.1855,0.2489,0.297,0.3625
2064.424,0.009651,0.08940000000000001,0.18510000000000001,0.2492,0.2966,0.3633
