,1,2,3,4,5,6
2000.784,-0.004365,0.001355,0.08318,-8.227E-4,0.1824,0.01199
2001.748,-0.002664,-0.001857,0.1072,0.01578,0.1529,0.01494
2002.712,0.007621,-0.004623,0.1213,0.038,0.1141,0.01685
2003.677,0.02706,-0.006222,0.1296,0.05951,0.07423,0.01889
2004.641,0.05252,-0.00609,0.1356,0.07674,0.04087,0.02201
2005.605,0.07881,-0.004366,0.141,0.0888,0.01914,0.02648
2006.569,0.1067,-0.0015,0.1434,0.09893,0.004128,0.0317
2007.534,0.1296,0.001896,0.1459,0.1029,0.006532,0.0381
2008.498,0.1431,0.004954,0.1482,0.1026,0.02661,0.04526
2009.462,0.1457,0.007341,0.1485,0.1003,0.06097,0.0524
2010.426,0.1385,0.009539,0.1446,0.09756,0.1029,0.05841
2011.391,0.1246,0.01265,0.1343,0.09428,0.1442,0.06205
2012.355,0.1073,0.01766,0.117,0.08894,0.1767,0.06199
2013.319,0.08938,0.02469,0.09319,0.07954,0.1944,0.05717
2014.283,0.07187,0.0327,0.06539,0.0652,0.195,0.04744
2015.248,0.05514,0.03997,0.03768,0.04694,0.1804,0.03388
2016.212,0.03997,0.04509,0.0148,0.02784,0.1565,0.01915
2017.176,0.02831,0.0479,0.001419,0.01192,0.1321,0.007038
2018.14,0.02292,0.04961,0.002087,0.002663,0.1154,0.001583
2019.104,0.0257,0.05214,0.01912,0.001322,0.1113,0.005246
2020.069,0.03605,0.05672,0.05212,0.006586,0.1196,0.01776
2021.033,0.05009,0.06282,0.09732,0.01535,0.1346,0.03583
2021.997,0.06176,0.06799,0.1476,0.02431,0.1476,0.05402
2022.961,0.06534,0.06882,0.1936,0.03161,0.1503,0.06665
2023.926,0.05817,0.06281,0.2258,0.03752,0.1379,0.07001
2024.89,0.04226,0.04997,0.2369,0.04392,0.1114,0.06354
2025.854,0.02377,0.03318,0.2237,0.05289,0.07716,0.04997
2026.818,0.01054,0.01736,0.1892,0.06501,0.04433,0.03416
2027.783,0.008963,0.007575,0.1425,0.0785,0.02126,0.02129
2028.747,0.02149,0.00723,0.09582,0.08981,0.0126,0.01514
2029.711,0.04609,0.01695,0.06145,0.09551,0.01827,0.01724
2030.675,0.07758,0.03457,0.04805,0.09417,0.03445,0.02699
2031.64,0.1101,0.0561,0.05824,0.08741,0.05566,0.04244
2032.604,0.1396,0.07696,0.08779,0.07956,0.07721,0.06111
2033.568,0.1641,0.0934,0.1278,0.07566,0.09705,0.08082
2034.532,0.184,0.1033,0.1679,0.07942,0.1158,0.09992
2035.497,0.2003,0.1063,0.1995,0.09143,0.1356,0.1173
2036.461,0.2132,0.1041,0.2186,0.1087,0.1581,0.1321
2037.425,0.2225,0.09983,0.2253,0.1259,0.1834,0.1436
2038.389,0.2276,0.09717,0.2224,0.1373,0.2097,0.1517
2039.353,0.2286,0.09915,0.2136,0.1386,0.2336,0.156
2040.318,0.2266,0.107,0.2016,0.1288,0.2514,0.1567
2041.282,0.2239,0.12,0.1879,0.1102,0.2595,0.154
2042.246,0.2233,0.1353,0.1725,0.08763,0.2567,0.1488
2043.21,0.2266,0.1502,0.1557,0.06679,0.2442,0.1424
2044.175,0.2347,0.1624,0.139,0.05276,0.2259,0.1365
2045.139,0.2466,0.171,0.125,0.04861,0.2067,0.1332
2046.103,0.2603,0.1763,0.1169,0.05455,0.1917,0.1337
2047.067,0.2731,0.1791,0.1169,0.06843,0.184,0.1385
2048.032,0.2821,0.1795,0.1251,0.08627,0.1846,0.1464
2048.996,0.2849,0.1768,0.1389,0.1037,0.1914,0.1547
2049.96,0.2803,0.1702,0.1542,0.1175,0.2008,0.1609
2050.924,0.2683,0.1596,0.166,0.1262,0.2085,0.1627
2051.889,0.2499,0.1462,0.17,0.13,0.211,0.1593
2052.853,0.2274,0.1322,0.1644,0.1305,0.2065,0.151
2053.817,0.2034,0.1202,0.1501,0.129,0.1944,0.1393
2054.781,0.1799,0.1113,0.1304,0.1264,0.1752,0.1259
2055.745,0.158,0.1049,0.1091,0.1223,0.1502,0.1117
2056.71,0.1375,0.09883,0.08959,0.1156,0.1209,0.09677
2057.674,0.1173,0.0904,0.07325,0.1054,0.0893,0.08074
2058.638,0.0963,0.07822,0.06007,0.09169,0.05809,0.06345
2059.602,0.07441,0.06304,0.04968,0.0754,0.03058,0.04582
2060.567,0.05301,0.04757,0.04204,0.05863,0.01043,0.02987
2061.531,0.03437,0.03518,0.03798,0.04404,7.79E-4,0.0182
2062.495,0.02076,0.02841,0.03917,0.03429,0.003077,0.01302
2063.459,0.01346,0.02773,0.04658,0.0312,0.01652,0.01517
2064.424,0.01214,0.03138,0.05908,0.03517,0.03801,0.02349
2065.388,0.01506,0.03635,0.07308,0.04524,0.06295,0.03516
2066.352,0.01984,0.03979,0.0835,0.05912,0.08632,0.04658
2067.316,0.02436,0.04026,0.08585,0.07366,0.1038,0.05456
2068.281,0.02765,0.03813,0.07809,0.08529,0.1128,0.05729
2069.245,0.02987,0.03521,0.06176,0.09099,0.1129,0.05472
2070.209,0.03199,0.03361,0.04144,0.08916,0.1057,0.04841
2071.173,0.03485,0.03468,0.02292,0.07994,0.09394,0.04065
2072.137,0.03873,0.03833,0.01128,0.06535,0.08099,0.03362
2073.102,0.0433,0.04315,0.008711,0.04873,0.06972,0.02877
2074.066,0.04794,0.04724,0.01415,0.03393,0.06223,0.02666
2075.03,0.05225,0.04924,0.02423,0.02456,0.05933,0.0272
2075.994,0.05633,0.04901,0.03507,0.02295,0.06043,0.03001
2076.959,0.06079,0.04762,0.04383,0.02964,0.06382,0.03462
2077.923,0.06643,0.04688,0.0493,0.04328,0.06735,0.04061
2078.887,0.07368,0.04852,0.05176,0.06086,0.06915,0.04743
2079.851,0.08222,0.05339,0.05214,0.07846,0.06812,0.05426
2080.816,0.09096,0.06102,0.05117,0.09225,0.06411,0.06002
2081.78,0.09819,0.06955,0.04898,0.09947,0.05787,0.06351
