wl1,a,b,c,d,e,f,h,g,j
1999.82,-0.003921,0.2217,-0.003522,0.3396,0.274,0.00182,0.2277,0.001298,0.1233
2000.302,-0.004323,0.2214,-0.004186,0.3391,0.2742,0.001276,0.2272,7.17E-04,0.1228
2000.784,-0.004382,0.2214,-0.004743,0.3387,0.2744,8.12E-04,0.2269,4.19E-04,0.1225
2001.267,-0.004217,0.2217,-0.005255,0.3384,0.2744,3.27E-04,0.2265,2.49E-04,0.1224
2001.749,-0.004024,0.2219,-0.005889,0.3379,0.2741,-3.06E-04,0.226,7.63E-05,0.1223
2002.231,-0.004011,0.222,-0.00681,0.3371,0.2737,-0.001164,0.2253,-1.50E-04,0.1221
2002.713,-0.004306,0.2218,-0.008086,0.336,0.2732,-0.002226,0.2243,-3.86E-04,0.122
2003.195,-0.004921,0.2213,-0.009614,0.3347,0.2726,-0.003356,0.2233,-5.37E-04,0.1219
2003.677,-0.005747,0.2205,-0.01113,0.3333,0.2721,-0.004325,0.2224,-5.24E-04,0.122
2004.159,-0.006619,0.2198,-0.01228,0.3323,0.2717,-0.004868,0.222,-3.19E-04,0.1222
2004.641,-0.007382,0.2191,-0.01275,0.332,0.2717,-0.004779,0.2222,4.68E-05,0.1227
2005.124,-0.007955,0.2186,-0.01242,0.3325,0.2721,-0.003988,0.2231,5.05E-04,0.1232
2005.606,-0.008329,0.2183,-0.01138,0.3337,0.2729,-0.002585,0.2246,9.87E-04,0.1237
2006.088,-0.00852,0.2182,-0.009896,0.3353,0.274,-7.89E-04,0.2265,0.001442,0.1243
2006.57,-0.008531,0.2183,-0.00837,0.337,0.2752,0.001072,0.2285,0.001841,0.1247
2007.052,-0.008328,0.2186,-0.007172,0.3384,0.2763,0.002664,0.2302,0.002163,0.1251
2007.534,-0.007862,0.2191,-0.006551,0.3392,0.277,0.003721,0.2314,0.002376,0.1254
2008.016,-0.007124,0.2199,-0.006568,0.3393,0.2774,0.004112,0.2319,0.002444,0.1255
2008.498,-0.006166,0.221,-0.007142,0.3389,0.2774,0.003809,0.2317,0.002308,0.1254
2008.98,-0.005144,0.2221,-0.008017,0.3382,0.2771,0.002959,0.231,0.001939,0.1251
2009.463,-0.004261,0.223,-0.008871,0.3375,0.2766,0.00181,0.2299,0.00134,0.1246
2009.945,-0.003669,0.2237,-0.009416,0.3371,0.2761,6.79E-04,0.2289,5.77E-04,0.1239
2010.427,-0.003441,0.224,-0.009465,0.3372,0.2755,-1.24E-04,0.2282,-2.65E-04,0.1231
2010.909,-0.003494,0.2241,-0.009043,0.3378,0.2749,-4.01E-04,0.2281,-0.001077,0.1224
2011.391,-0.003704,0.2239,-0.008342,0.3387,0.2746,-6.19E-05,0.2285,-0.001763,0.1218
2011.873,-0.00394,0.2238,-0.007708,0.3395,0.2745,7.79E-04,0.2295,-0.002263,0.1213
2012.355,-0.004157,0.2237,-0.007519,0.3398,0.2746,0.001875,0.2307,-0.002546,0.1211
2012.837,-0.004384,0.2235,-0.008034,0.3395,0.275,0.002885,0.2318,-0.002626,0.1211
2013.319,-0.004685,0.2233,-0.009306,0.3384,0.2755,0.003494,0.2326,-0.002532,0.1213
2013.802,-0.005079,0.223,-0.01113,0.3367,0.2759,0.003487,0.2327,-0.002298,0.1216
2014.284,-0.005488,0.2227,-0.01306,0.335,0.2762,0.002868,0.2322,-0.001954,0.122
2014.766,-0.005765,0.2225,-0.0146,0.3336,0.2763,0.001818,0.2312,-0.00151,0.1225
2015.248,-0.005717,0.2226,-0.01529,0.333,0.2763,6.29E-04,0.2301,-9.46E-04,0.1231
2015.73,-0.00529,0.2231,-0.01505,0.3334,0.2763,-3.83E-04,0.2293,-2.69E-04,0.1238
2016.212,-0.004511,0.224,-0.014,0.3347,0.2765,-0.001017,0.2287,5.09E-04,0.1247
2016.694,-0.003551,0.225,-0.01254,0.3363,0.2768,-0.001241,0.2286,0.001327,0.1256
2017.176,-0.002622,0.226,-0.01111,0.3379,0.2775,-0.001136,0.2288,0.002075,0.1264
2017.659,-0.001944,0.2268,-0.01012,0.339,0.2782,-8.76E-04,0.2292,0.002594,0.127
2018.141,-0.001632,0.2272,-0.009711,0.3396,0.279,-6.43E-04,0.2296,0.002748,0.1272
2018.623,-0.001692,0.2272,-0.009797,0.3397,0.2795,-5.35E-04,0.2298,0.002447,0.1269
2019.105,-0.002021,0.227,-0.01008,0.3396,0.2796,-5.43E-04,0.2299,0.0017,0.1263
2019.587,-0.002452,0.2266,-0.0102,0.3396,0.2791,-5.65E-04,0.23,6.22E-04,0.1253
2020.069,-0.00281,0.2264,-0.009942,0.34,0.2781,-4.68E-04,0.2302,-5.78E-04,0.1241
2020.551,-0.002968,0.2263,-0.009288,0.3409,0.2768,-1.50E-04,0.2306,-0.001657,0.1231
2021.033,-0.002899,0.2264,-0.008483,0.3418,0.2756,3.96E-04,0.2313,-0.002431,0.1224
2021.515,-0.002666,0.2268,-0.007924,0.3425,0.2749,0.0011,0.2321,-0.002786,0.1221
2021.998,-0.002427,0.2271,-0.007992,0.3426,0.2748,0.001814,0.233,-0.002745,0.1222
2022.48,-0.002377,0.2272,-0.008857,0.3419,0.2755,0.002386,0.2336,-0.002425,0.1226
2022.962,-0.00267,0.227,-0.01038,0.3406,0.2767,0.002708,0.2341,-0.001962,0.1231
2023.444,-0.003353,0.2264,-0.01213,0.339,0.2781,0.002749,0.2342,-0.001444,0.1237
2023.926,-0.004333,0.2255,-0.01351,0.3378,0.2795,0.002557,0.2342,-8.68E-04,0.1243
2024.408,-0.005375,0.2246,-0.014,0.3375,0.2804,0.002233,0.234,-1.62E-04,0.1251
2024.89,-0.006196,0.2238,-0.0134,0.3382,0.2809,0.001873,0.2337,7.39E-04,0.1261
2025.372,-0.006562,0.2235,-0.01193,0.3398,0.281,0.001519,0.2335,0.0018,0.1272
2025.855,-0.006449,0.2237,-0.0102,0.3417,0.2807,0.001156,0.2332,0.002856,0.1283
2026.337,-0.005926,0.2243,-0.008883,0.3432,0.2801,7.29E-04,0.2329,0.003631,0.1292
2026.819,-0.005221,0.2251,-0.008577,0.3437,0.2794,2.13E-04,0.2325,0.003831,0.1294
2027.301,-0.004588,0.2259,-0.009449,0.343,0.2785,-3.36E-04,0.2321,0.003301,0.129
2027.783,-0.004192,0.2263,-0.01118,0.3414,0.2776,-7.71E-04,0.2318,0.002119,0.1279
2028.265,-0.004057,0.2266,-0.01314,0.3396,0.2766,-9.05E-04,0.2317,5.59E-04,0.1264
2028.747,-0.004099,0.2266,-0.01462,0.3383,0.2759,-5.71E-04,0.2322,-9.98E-04,0.1249
2029.229,-0.004174,0.2266,-0.01517,0.3379,0.2756,2.30E-04,0.2331,-0.002206,0.1237
2029.711,-0.004164,0.2267,-0.01464,0.3386,0.2758,0.001351,0.2343,-0.002852,0.1231
2030.194,-0.004017,0.2269,-0.01329,0.3401,0.2766,0.002487,0.2356,-0.00293,0.1231
2030.676,-0.003734,0.2273,-0.0116,0.342,0.2779,0.003322,0.2365,-0.002591,0.1235
2031.158,-0.003334,0.2278,-0.01006,0.3437,0.2793,0.003629,0.237,-0.002009,0.1242
2031.64,-0.002833,0.2284,-0.009043,0.3449,0.2807,0.003384,0.2368,-0.001337,0.1249
2032.122,-0.002245,0.2291,-0.008653,0.3454,0.2818,0.002777,0.2364,-6.22E-04,0.1257
2032.604,-0.001601,0.2298,-0.008729,0.3455,0.2825,0.002139,0.2358,1.68E-04,0.1266
