Wavenumber,doped PBTTT,neat PBTTT
399.496,1.163,1.334
400.46,1.2570000000000001,1.369
401.42400000000004,1.3259999999999998,1.392
402.389,1.3459999999999999,1.399
403.353,1.34,1.3869999999999998
404.31699999999995,1.3530000000000002,1.3559999999999999
405.281,1.423,1.3159999999999998
406.246,1.579,1.28
407.21,1.837,1.261
408.17400000000004,2.099,1.26
409.13800000000003,2.0980000000000003,1.275
410.102,1.814,1.297
411.06699999999995,1.564,1.325
412.031,1.41,1.361
412.995,1.3259999999999998,1.412
413.959,1.2890000000000001,1.484
414.92400000000004,1.2770000000000001,1.578
415.88800000000003,1.276,1.672
416.852,1.2770000000000001,1.7080000000000002
417.816,1.272,1.625
418.781,1.256,1.456
419.745,1.225,1.2930000000000001
420.709,1.183,1.1840000000000002
421.673,1.14,1.129
422.63699999999994,1.104,1.1159999999999999
423.602,1.083,1.1320000000000001
424.566,1.08,1.166
425.53,1.099,1.203
426.494,1.139,1.229
427.459,1.195,1.232
428.423,1.255,1.212
429.38699999999994,1.305,1.18
430.351,1.329,1.145
431.316,1.321,1.1159999999999999
432.28,1.2930000000000001,1.094
433.244,1.2590000000000001,1.078
434.208,1.229,1.063
435.173,1.206,1.045
436.13699999999994,1.187,1.022
437.101,1.17,0.9962
438.065,1.158,0.9725
439.029,1.151,0.9544
439.994,1.153,0.9442
440.958,1.16,0.9415
441.92199999999997,1.165,0.9436
442.88599999999997,1.158,0.9461
443.851,1.135,0.9452
444.815,1.101,0.9391
445.779,1.067,0.9284
446.74300000000005,1.038,0.9142
447.708,1.0190000000000001,0.8971
448.67199999999997,1.006,0.8772
449.63599999999997,0.9983,0.8558
450.6,0.9928,0.8355
451.564,0.9877,0.82
452.529,0.9812,0.8119
453.49300000000005,0.9707,0.8111
454.457,0.9538,0.8142
455.421,0.9304,0.8155
456.38599999999997,0.9043,0.8093
457.35,0.8822,0.7937
458.314,0.8703,0.7731
459.278,0.8692,0.7557
460.24300000000005,0.8731,0.7471
461.207,0.8729,0.7471
462.171,0.8616,0.7511
463.135,0.8394,0.752
464.1,0.8122,0.7442
465.064,0.7883,0.7264
466.028,0.7732,0.7022
466.99199999999996,0.7675,0.6772
467.95599999999996,0.7668,0.6559999999999999
468.921,0.7648,0.6401
469.885,0.7569,0.6289
470.849,0.743,0.6205
471.81300000000005,0.7273,0.613
472.778,0.7152,0.6053
473.74199999999996,0.7091,0.5967
474.70599999999996,0.7075,0.5873
475.67,0.7062,0.5773
476.635,0.7014,0.5669
477.599,0.6917,0.5565
478.56300000000005,0.6784,0.5468
479.527,0.6643,0.5383
480.491,0.6521,0.5316
481.45599999999996,0.6435,0.527
482.42,0.6383,0.5244
483.384,0.6352,0.5232
484.348,0.6323,0.522
485.31300000000005,0.6279,0.5189
486.277,0.6211,0.5124
487.241,0.6125,0.502
488.205,0.6035,0.4887
489.17,0.5958,0.4747
490.134,0.5909,0.4622
491.098,0.5889,0.4529
492.06199999999995,0.5883,0.4467
493.027,0.5868,0.4427
493.991,0.5822,0.439
494.955,0.5736,0.4345
495.91900000000004,0.5618,0.4287
496.88300000000004,0.5486,0.42200000000000004
497.848,0.536,0.4149
498.81199999999995,0.525,0.4077
499.776,0.5165,0.4004
500.74,0.5105,0.3928
501.705,0.5067,0.3851
502.66900000000004,0.5044,0.3778
503.63300000000004,0.5024,0.3714
504.597,0.4994,0.366
505.56199999999995,0.4945,0.3613
506.526,0.4874,0.3572
507.49,0.4787,0.3532
508.454,0.4697,0.3496
509.418,0.4622,0.3465
510.38300000000004,0.4574,0.3439
511.347,0.4559,0.3415
512.311,0.4569,0.3386
513.275,0.4592,0.3344
514.24,0.4607,0.3287
515.2040000000001,0.4598,0.3216
516.168,0.4559,0.3137
517.132,0.4492,0.3059
518.097,0.4411,0.299
519.061,0.4335,0.2934
520.025,0.4272,0.2891
520.989,0.4225,0.28600000000000003
521.9540000000001,0.419,0.2836
522.918,0.4162,0.2817
523.882,0.4137,0.28
524.846,0.4116,0.2783
525.81,0.41,0.2764
526.775,0.4087,0.27399999999999997
527.739,0.4075,0.2715
528.703,0.4063,0.2689
529.6669999999999,0.4048,0.2666
530.632,0.4031,0.2645
531.596,0.4012,0.2624
532.56,0.3989,0.26
533.524,0.3964,0.2571
534.489,0.3938,0.254
535.453,0.3916,0.251
536.4169999999999,0.3902,0.2486
537.381,0.3898,0.2468
538.346,0.3901,0.2455
539.31,0.3904,0.244
540.274,0.3902,0.2422
