,Wavenumber,Absorbance,film
0,399.496,1.163,doped PBTTT
1,400.46,1.2570000000000001,doped PBTTT
2,401.42400000000004,1.3259999999999998,doped PBTTT
3,402.389,1.3459999999999999,doped PBTTT
4,403.353,1.34,doped PBTTT
5,404.31699999999995,1.3530000000000002,doped PBTTT
6,405.281,1.423,doped PBTTT
7,406.246,1.579,doped PBTTT
8,407.21,1.837,doped PBTTT
9,408.17400000000004,2.099,doped PBTTT
10,409.13800000000003,2.0980000000000003,doped PBTTT
11,410.102,1.814,doped PBTTT
12,411.06699999999995,1.564,doped PBTTT
13,412.031,1.41,doped PBTTT
14,412.995,1.3259999999999998,doped PBTTT
15,413.959,1.2890000000000001,doped PBTTT
16,414.92400000000004,1.2770000000000001,doped PBTTT
17,415.88800000000003,1.276,doped PBTTT
18,416.852,1.2770000000000001,doped PBTTT
19,417.816,1.272,doped PBTTT
20,418.781,1.256,doped PBTTT
21,419.745,1.225,doped PBTTT
22,420.709,1.183,doped PBTTT
23,421.673,1.14,doped PBTTT
24,422.63699999999994,1.104,doped PBTTT
25,423.602,1.083,doped PBTTT
26,424.566,1.08,doped PBTTT
27,425.53,1.099,doped PBTTT
28,426.494,1.139,doped PBTTT
29,427.459,1.195,doped PBTTT
30,428.423,1.255,doped PBTTT
31,429.38699999999994,1.305,doped PBTTT
32,430.351,1.329,doped PBTTT
33,431.316,1.321,doped PBTTT
34,432.28,1.2930000000000001,doped PBTTT
35,433.244,1.2590000000000001,doped PBTTT
36,434.208,1.229,doped PBTTT
37,435.173,1.206,doped PBTTT
38,436.13699999999994,1.187,doped PBTTT
39,437.101,1.17,doped PBTTT
40,438.065,1.158,doped PBTTT
41,439.029,1.151,doped PBTTT
42,439.994,1.153,doped PBTTT
43,440.958,1.16,doped PBTTT
44,441.92199999999997,1.165,doped PBTTT
45,442.88599999999997,1.158,doped PBTTT
46,443.851,1.135,doped PBTTT
47,444.815,1.101,doped PBTTT
48,445.779,1.067,doped PBTTT
49,446.74300000000005,1.038,doped PBTTT
50,447.708,1.0190000000000001,doped PBTTT
51,448.67199999999997,1.006,doped PBTTT
52,449.63599999999997,0.9983,doped PBTTT
53,450.6,0.9928,doped PBTTT
54,451.564,0.9877,doped PBTTT
55,452.529,0.9812,doped PBTTT
56,453.49300000000005,0.9707,doped PBTTT
57,454.457,0.9538,doped PBTTT
58,455.421,0.9304,doped PBTTT
59,456.38599999999997,0.9043,doped PBTTT
60,457.35,0.8822,doped PBTTT
61,458.314,0.8703,doped PBTTT
62,459.278,0.8692,doped PBTTT
63,460.24300000000005,0.8731,doped PBTTT
64,461.207,0.8729,doped PBTTT
65,462.171,0.8616,doped PBTTT
66,463.135,0.8394,doped PBTTT
67,464.1,0.8122,doped PBTTT
68,465.064,0.7883,doped PBTTT
69,466.028,0.7732,doped PBTTT
70,466.99199999999996,0.7675,doped PBTTT
71,467.95599999999996,0.7668,doped PBTTT
72,468.921,0.7648,doped PBTTT
73,469.885,0.7569,doped PBTTT
74,470.849,0.743,doped PBTTT
75,471.81300000000005,0.7273,doped PBTTT
76,472.778,0.7152,doped PBTTT
77,473.74199999999996,0.7091,doped PBTTT
78,474.70599999999996,0.7075,doped PBTTT
79,475.67,0.7062,doped PBTTT
80,476.635,0.7014,doped PBTTT
81,477.599,0.6917,doped PBTTT
82,478.56300000000005,0.6784,doped PBTTT
83,479.527,0.6643,doped PBTTT
84,480.491,0.6521,doped PBTTT
85,481.45599999999996,0.6435,doped PBTTT
86,482.42,0.6383,doped PBTTT
87,483.384,0.6352,doped PBTTT
88,484.348,0.6323,doped PBTTT
89,485.31300000000005,0.6279,doped PBTTT
90,486.277,0.6211,doped PBTTT
91,487.241,0.6125,doped PBTTT
92,488.205,0.6035,doped PBTTT
93,489.17,0.5958,doped PBTTT
94,490.134,0.5909,doped PBTTT
95,491.098,0.5889,doped PBTTT
96,492.06199999999995,0.5883,doped PBTTT
97,493.027,0.5868,doped PBTTT
98,493.991,0.5822,doped PBTTT
99,494.955,0.5736,doped PBTTT
100,495.91900000000004,0.5618,doped PBTTT
101,496.88300000000004,0.5486,doped PBTTT
102,497.848,0.536,doped PBTTT
103,498.81199999999995,0.525,doped PBTTT
104,499.776,0.5165,doped PBTTT
105,500.74,0.5105,doped PBTTT
106,501.705,0.5067,doped PBTTT
107,502.66900000000004,0.5044,doped PBTTT
108,503.63300000000004,0.5024,doped PBTTT
109,504.597,0.4994,doped PBTTT
110,505.56199999999995,0.4945,doped PBTTT
111,506.526,0.4874,doped PBTTT
112,507.49,0.4787,doped PBTTT
113,508.454,0.4697,doped PBTTT
114,509.418,0.4622,doped PBTTT
115,510.38300000000004,0.4574,doped PBTTT
116,511.347,0.4559,doped PBTTT
117,512.311,0.4569,doped PBTTT
118,513.275,0.4592,doped PBTTT
119,514.24,0.4607,doped PBTTT
120,515.2040000000001,0.4598,doped PBTTT
121,516.168,0.4559,doped PBTTT
122,517.132,0.4492,doped PBTTT
123,518.097,0.4411,doped PBTTT
124,519.061,0.4335,doped PBTTT
125,520.025,0.4272,doped PBTTT
126,520.989,0.4225,doped PBTTT
127,521.9540000000001,0.419,doped PBTTT
128,522.918,0.4162,doped PBTTT
129,523.882,0.4137,doped PBTTT
130,524.846,0.4116,doped PBTTT
131,525.81,0.41,doped PBTTT
132,526.775,0.4087,doped PBTTT
133,527.739,0.4075,doped PBTTT
134,528.703,0.4063,doped PBTTT
135,529.6669999999999,0.4048,doped PBTTT
136,530.632,0.4031,doped PBTTT
137,531.596,0.4012,doped PBTTT
138,532.56,0.3989,doped PBTTT
139,533.524,0.3964,doped PBTTT
140,534.489,0.3938,doped PBTTT
141,535.453,0.3916,doped PBTTT
142,536.4169999999999,0.3902,doped PBTTT
143,537.381,0.3898,doped PBTTT
144,538.346,0.3901,doped PBTTT
145,539.31,0.3904,doped PBTTT
146,540.274,0.3902,doped PBTTT
147,541.238,0.3891,doped PBTTT
148,542.202,0.3872,doped PBTTT
149,543.1669999999999,0.3851,doped PBTTT
150,544.131,0.3832,doped PBTTT
151,545.095,0.3821,doped PBTTT
152,546.059,0.3815,doped PBTTT
153,547.024,0.3812,doped PBTTT
154,547.988,0.3808,doped PBTTT
155,548.952,0.3804,doped PBTTT
156,549.9159999999999,0.3801,doped PBTTT
157,550.881,0.3802,doped PBTTT
158,551.845,0.3806,doped PBTTT
159,552.809,0.3812,doped PBTTT
160,553.773,0.3817,doped PBTTT
161,554.737,0.3819,doped PBTTT
162,555.702,0.3818,doped PBTTT
163,556.6659999999999,0.3815,doped PBTTT
164,557.63,0.3814,doped PBTTT
165,558.594,0.3816,doped PBTTT
166,559.559,0.3821,doped PBTTT
167,560.523,0.3828,doped PBTTT
168,561.487,0.3835,doped PBTTT
169,562.451,0.384,doped PBTTT
170,563.4159999999999,0.3842,doped PBTTT
171,564.38,0.3841,doped PBTTT
172,565.344,0.3838,doped PBTTT
173,566.308,0.3834,doped PBTTT
174,567.273,0.3833,doped PBTTT
175,568.237,0.3835,doped PBTTT
176,569.201,0.3842,doped PBTTT
177,570.165,0.3852,doped PBTTT
178,571.129,0.3863,doped PBTTT
179,572.094,0.3876,doped PBTTT
180,573.058,0.3892,doped PBTTT
181,574.0219999999999,0.3912,doped PBTTT
182,574.986,0.3938,doped PBTTT
183,575.951,0.3968,doped PBTTT
184,576.915,0.3997,doped PBTTT
185,577.879,0.402,doped PBTTT
186,578.8430000000001,0.4032,doped PBTTT
187,579.808,0.4032,doped PBTTT
188,580.7719999999999,0.4025,doped PBTTT
189,581.736,0.4018,doped PBTTT
190,582.7,0.4017,doped PBTTT
191,583.664,0.4027,doped PBTTT
192,584.629,0.4049,doped PBTTT
193,585.5930000000001,0.408,doped PBTTT
194,586.557,0.4116,doped PBTTT
195,587.521,0.4153,doped PBTTT
196,588.486,0.4188,doped PBTTT
197,589.45,0.4219,doped PBTTT
198,590.414,0.4245,doped PBTTT
199,591.378,0.4265,doped PBTTT
200,592.3430000000001,0.4279,doped PBTTT
201,593.307,0.4286,doped PBTTT
202,594.271,0.4291,doped PBTTT
203,595.235,0.4298,doped PBTTT
204,596.2,0.4309,doped PBTTT
205,597.164,0.4326,doped PBTTT
206,598.128,0.4344,doped PBTTT
207,599.092,0.436,doped PBTTT
208,600.056,0.4369,doped PBTTT
209,601.021,0.4373,doped PBTTT
210,601.985,0.4375,doped PBTTT
211,602.9490000000001,0.4377,doped PBTTT
212,603.913,0.4383,doped PBTTT
213,604.878,0.439,doped PBTTT
214,605.842,0.4399,doped PBTTT
215,606.806,0.441,doped PBTTT
216,607.77,0.4422,doped PBTTT
217,608.735,0.4438,doped PBTTT
218,609.6990000000001,0.4458,doped PBTTT
219,610.663,0.4483,doped PBTTT
220,611.627,0.4511,doped PBTTT
221,612.591,0.4542,doped PBTTT
222,613.556,0.4574,doped PBTTT
223,614.52,0.4609,doped PBTTT
224,615.484,0.4645,doped PBTTT
225,616.448,0.4681,doped PBTTT
226,617.413,0.4712,doped PBTTT
227,618.377,0.4733,doped PBTTT
228,619.341,0.474,doped PBTTT
229,620.305,0.4735,doped PBTTT
230,621.27,0.47200000000000003,doped PBTTT
231,622.234,0.4706,doped PBTTT
232,623.198,0.4699,doped PBTTT
233,624.1619999999999,0.4706,doped PBTTT
234,625.127,0.4728,doped PBTTT
235,626.091,0.4761,doped PBTTT
236,627.055,0.4798,doped PBTTT
237,628.019,0.4831,doped PBTTT
238,628.9830000000001,0.4857,doped PBTTT
239,629.948,0.4877,doped PBTTT
240,630.9119999999999,0.4893,doped PBTTT
241,631.876,0.4906,doped PBTTT
242,632.84,0.4915,doped PBTTT
243,633.805,0.4923,doped PBTTT
244,634.769,0.4932,doped PBTTT
245,635.7330000000001,0.4945,doped PBTTT
246,636.697,0.4963,doped PBTTT
247,637.6619999999999,0.4984,doped PBTTT
248,638.626,0.5005,doped PBTTT
249,639.59,0.5024,doped PBTTT
250,640.554,0.5042,doped PBTTT
251,641.518,0.5062,doped PBTTT
252,642.4830000000001,0.509,doped PBTTT
253,643.447,0.5122,doped PBTTT
254,644.411,0.5152,doped PBTTT
255,645.375,0.5172,doped PBTTT
256,646.34,0.5176,doped PBTTT
257,647.304,0.5167,doped PBTTT
258,648.268,0.5159,doped PBTTT
259,649.232,0.5163,doped PBTTT
260,650.197,0.5186,doped PBTTT
261,651.161,0.5224,doped PBTTT
262,652.125,0.5269,doped PBTTT
263,653.089,0.5312,doped PBTTT
264,654.054,0.535,doped PBTTT
265,655.018,0.5385,doped PBTTT
266,655.982,0.5421,doped PBTTT
267,656.946,0.5458,doped PBTTT
268,657.91,0.5495,doped PBTTT
269,658.875,0.5532,doped PBTTT
270,659.8389999999999,0.5568,doped PBTTT
271,660.803,0.5602,doped PBTTT
272,661.7669999999999,0.5634,doped PBTTT
273,662.732,0.5662,doped PBTTT
274,663.696,0.5684,doped PBTTT
275,664.66,0.5701,doped PBTTT
276,665.6239999999999,0.5717,doped PBTTT
277,666.5889999999999,0.5743,doped PBTTT
278,667.553,0.5795,doped PBTTT
279,668.5169999999999,0.5875,doped PBTTT
280,669.4810000000001,0.5956,doped PBTTT
281,670.445,0.6008,doped PBTTT
282,671.41,0.6031,doped PBTTT
283,672.3739999999999,0.604,doped PBTTT
284,673.3380000000001,0.6047,doped PBTTT
285,674.302,0.6055,doped PBTTT
286,675.2669999999999,0.6065,doped PBTTT
287,676.2310000000001,0.6076,doped PBTTT
288,677.195,0.6088,doped PBTTT
289,678.159,0.6102,doped PBTTT
290,679.1239999999999,0.6119,doped PBTTT
291,680.0880000000001,0.614,doped PBTTT
292,681.052,0.6162,doped PBTTT
293,682.0160000000001,0.6184,doped PBTTT
294,682.9810000000001,0.6206,doped PBTTT
295,683.945,0.623,doped PBTTT
296,684.909,0.6255,doped PBTTT
297,685.873,0.6281,doped PBTTT
298,686.837,0.6303,doped PBTTT
299,687.802,0.6321,doped PBTTT
300,688.7660000000001,0.6335,doped PBTTT
301,689.73,0.635,doped PBTTT
302,690.694,0.6372,doped PBTTT
303,691.659,0.6405,doped PBTTT
304,692.623,0.6449,doped PBTTT
305,693.587,0.6501,doped PBTTT
306,694.551,0.6556,doped PBTTT
307,695.5160000000001,0.6609,doped PBTTT
308,696.48,0.6659,doped PBTTT
309,697.444,0.6707,doped PBTTT
310,698.408,0.6756,doped PBTTT
311,699.372,0.6809999999999999,doped PBTTT
312,700.337,0.6869,doped PBTTT
313,701.301,0.6929,doped PBTTT
314,702.265,0.6989,doped PBTTT
315,703.2289999999999,0.7044,doped PBTTT
316,704.194,0.7096,doped PBTTT
317,705.158,0.7145,doped PBTTT
318,706.122,0.7195,doped PBTTT
319,707.086,0.7244,doped PBTTT
320,708.051,0.7295,doped PBTTT
321,709.015,0.7347,doped PBTTT
322,709.9789999999999,0.7404,doped PBTTT
323,710.943,0.7468,doped PBTTT
324,711.908,0.7541,doped PBTTT
325,712.872,0.7619,doped PBTTT
326,713.836,0.7694,doped PBTTT
327,714.8,0.7759,doped PBTTT
328,715.7639999999999,0.7809,doped PBTTT
329,716.7289999999999,0.7847,doped PBTTT
330,717.693,0.7879,doped PBTTT
331,718.6569999999999,0.7908,doped PBTTT
