,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,rad,,rad,,rad,,rad
,PBTTT doped,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped,,PBTTT undoped,,PBTTT dedoped,,PBTTT dedoped,,PBTTT dedoped,,back,,back,,back,,doped,,undoped,,dedoped,,back
0.010125107,9.0000008,0.010125107,8.9999996,0.010125107,9.3011812,0.010125107,7.00000080000001,0.010125107,6.9999996,0.010125107,5.2933242,0.010125107,8.00000080000001,0.010125107,7.9999996,0.010125107,4.7874322,0.010125107,15.000001,0.010125107,15.000002,0.010125107,16.003929,,,,,,,,
0.03037532,10.7398744,0.03037532,11.643869,0.03037532,11.0598422,0.03037532,6.8757274,0.03037532,7.1259,0.03037532,6.4293902,0.03037532,9.1184914,0.03037532,11.273363,0.03037532,7.3293612,0.03037532,15.621388,0.03037532,14.370515,0.03037532,15.842639,180,,180,,180,,180,
0.050625537,12.0547962,0.050625537,12.6618898,0.050625537,11.755433,0.050625537,5.7418692,0.050625537,6.2269628,0.050625537,6.758217,0.050625537,8.4876612,0.050625537,10.8681498,0.050625537,8.216078,0.050625537,16.127119,0.050625537,14.448451,0.050625537,15.76244,-179.5,278.64885,-179.5,247.96095,-179.49998,283.87095,-179.5,816.96735
0.070875749,12.6624244,0.070875749,10.7906018,0.070875749,10.8244606,0.070875749,9.1039654,0.070875749,6.4062218,0.070875749,7.8746426,0.070875749,7.4799934,0.070875749,7.1685368,0.070875749,7.3345546,0.070875749,17.306053,0.070875749,15.377976,0.070875749,15.920857,-178.49998,276.3854,-178.49998,247.5642,-178.49997,282.0576,-178.49998,833.0083
0.091125965,13.0427488,0.091125965,11.3823432,0.091125965,10.9084058,0.091125965,10.8040708,0.091125965,8.9847222,0.091125965,8.7818668,0.091125965,10.1212438,0.091125965,7.1066072,0.091125965,7.1842278,0.091125965,14.703546,0.091125965,15.243284,0.091125965,15.459896,-177.49997,291.5632,-177.49997,258.2006,-177.49997,294.1221,-177.49997,838.5531
0.11137618,10.7527194,0.11137618,13.929033,0.11137618,11.6870606,0.11137618,9.9921274,0.11137618,11.092695,0.11137618,9.0973576,0.11137618,8.6919184,0.11137618,8.772305,0.11137618,7.2280126,0.11137618,15.266033,0.11137618,14.160215,0.11137618,15.398837,-176.49997,306.81398,-176.49997,271.95798,-176.49997,304.64708,-176.49997,846.89392
0.1316264,9.8367274,0.1316264,14.5604736,0.1316264,12.2889714,0.1316264,7.7741014,0.1316264,11.3053986,0.1316264,8.2858684,0.1316264,7.4333574,0.1316264,8.8025506,0.1316264,7.0428474,0.1316264,16.470343,0.1316264,14.294922,0.1316264,15.720413,-175.49997,350.15406,-175.49997,304.16886,-175.49997,343.76256,-175.49997,852.43604
0.15187661,10.7248844,0.15187661,14.696247,0.15187661,12.6185222,0.15187661,5.2572644,0.15187661,11.317333,0.15187661,7.5016402,0.15187661,7.0560124,0.15187661,8.33073,0.15187661,7.0135042,0.15187661,16.552063,0.15187661,14.33603,0.15187661,15.867804,-174.49998,368.91986,-174.49998,316.49556,-174.49998,372.04596,-174.49998,855.43304
0.17212681,10.4736766,0.17212681,14.625615,0.17212681,12.4346252,0.17212681,5.9528426,0.17212681,11.889379,0.17212681,8.1280462,0.17212681,5.9775426,0.17212681,9.05189,0.17212681,7.03361920000001,0.17212681,16.448002,0.17212681,14.322795,0.17212681,15.954199,-173.49995,363.81443,-173.49995,317.18993,-173.49995,378.17673,-173.49995,856.75037
