,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PCE doped,,PCE doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,PCE doped,,PCE doped,,PCE doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.010125107,5.00000100000001,0.010125107,5.000002,0.010125107,4.498037,0.010125107,2.999999,0.010125107,3,0.010125107,1.49411,0.010125107,5.00000100000001,0.010125107,5.000002,0.010125107,3.996075,0.010125107,-1,0.010125107,-1,0.010125107,-1.501963,0.010125107,15.000001,0.010125107,15.000002,0.010125107,16.003929,0.010125107,9.0000008,0.010125107,8.9999996,0.010125107,7.00000080000001,0.010125107,6.9999996
0.03037532,5.000005,0.03037532,5.000001,0.03037532,4.336535,0.03037532,3.621383,0.03037532,2.999999,0.03037532,2.748944,0.03037532,6.242767,0.03037532,5.000001,0.03037532,4.928111,0.03037532,0.242762000000003,0.03037532,0.258983000000002,0.03037532,0.226901000000002,0.03037532,15.621388,0.03037532,14.370515,0.03037532,15.842639,0.03037532,10.7398744,0.03037532,11.643869,0.03037532,6.8757274,0.03037532,7.1259
0.050625537,4.006287,0.050625537,4.55157,0.050625537,3.824999,0.050625537,4.573418,0.050625537,3.350644,0.050625537,3.807646,0.050625537,5.29277,0.050625537,4.453774,0.050625537,5.087419,0.050625537,2.01972,0.050625537,1.617002,0.050625537,1.90472,0.050625537,16.127119,0.050625537,14.448451,0.050625537,15.76244,0.050625537,12.0547962,0.050625537,12.6618898,0.050625537,5.7418692,0.050625537,6.2269628
0.070875749,2.146944,0.070875749,3.244119,0.070875749,3.272117,0.070875749,6.00598,0.070875749,2.83534,0.070875749,4.332553,0.070875749,3.423451,0.070875749,2.83534,0.070875749,3.79977,0.070875749,1.693987,0.070875749,1.365745,0.070875749,1.735275,0.070875749,17.306053,0.070875749,15.377976,0.070875749,15.920857,0.070875749,12.6624244,0.070875749,10.7906018,0.070875749,9.1039654,0.070875749,6.4062218
0.091125965,5.075806,0.091125965,3.674189,0.091125965,4.194388,0.091125965,5.922982,0.091125965,3.207014,0.091125965,4.250721,0.091125965,4.569872,0.091125965,3.194645,0.091125965,3.848265,0.091125965,3.258282,0.091125965,2.525206,0.091125965,2.017944,0.091125965,14.703546,0.091125965,15.243284,0.091125965,15.459896,0.091125965,13.0427488,0.091125965,11.3823432,0.091125965,10.8040708,0.091125965,8.9847222
0.11137618,5.255072,0.11137618,4.659211,0.11137618,4.373454,0.11137618,4.291968,0.11137618,3.905703,0.11137618,3.869413,0.11137618,3.926306,0.11137618,5.069022,0.11137618,4.187833,0.11137618,2.213587,0.11137618,4.180016,0.11137618,2.297015,0.11137618,15.266033,0.11137618,14.160215,0.11137618,15.398837,0.11137618,10.7527194,0.11137618,13.929033,0.11137618,9.9921274,0.11137618,11.092695
0.1316264,2.900665,0.1316264,4.672304,0.1316264,3.694563,0.1316264,3.170484,0.1316264,4.585127,0.1316264,3.591637,0.1316264,3.903272,0.1316264,6.37211,0.1316264,4.528847,0.1316264,2.178121,0.1316264,3.773428,0.1316264,2.315981,0.1316264,16.470343,0.1316264,14.294922,0.1316264,15.720413,0.1316264,9.8367274,0.1316264,14.5604736,0.1316264,7.7741014,0.1316264,11.3053986
0.15187661,2.1003,0.15187661,5.238936,0.15187661,3.392988,0.15187661,2.627352,0.15187661,5.433766,0.15187661,3.290535,0.15187661,4.174078,0.15187661,7.76530900000001,0.15187661,4.807823,0.15187661,2.182413,0.15187661,3.083674,0.15187661,1.923076,0.15187661,16.552063,0.15187661,14.33603,0.15187661,15.867804,0.15187661,10.7248844,0.15187661,14.696247,0.15187661,5.2572644,0.15187661,11.317333
0.17212681,2.738699,0.17212681,5.073266,0.17212681,3.499933,0.17212681,2.650555,0.17212681,5.35986,0.17212681,3.184492,0.17212681,3.872755,0.17212681,7.293036,0.17212681,4.72695900000001,0.17212681,1.764551,0.17212681,2.847649,0.17212681,1.808132,0.17212681,16.448002,0.17212681,14.322795,0.17212681,15.954199,0.17212681,10.4736766,0.17212681,14.625615,0.17212681,5.9528426,0.17212681,11.889379
