,p3ht load,sigma,Seebeck,power factor,model
0,0,17.5161782783145,594.852665454011,6.198094316785,VRH
1,10,3.2529161690073596,554.279290962117,0.9993789018415921,VRH
2,20,2.41947830232438,581.451570046268,0.817991567865475,VRH
3,30,6.007949690749769,514.570554480681,1.5908020750487102,VRH
4,40,0.542834161424546,635.829111864273,0.21945626710832503,VRH
5,50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
6,60,1.04957856477369,378.096368221455,0.150044459787177,VRH
7,70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
8,80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
9,90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
10,100,0.687922538054413,130.27743680613997,0.0116755661516057,VRH
11,0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
12,10,1.96507250745595,589.499145218446,0.682880857960164,NNH
13,20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
14,30,0.677533285738715,661.1174419077411,0.29613372268295396,NNH
15,40,0.18706003419447698,736.154446019602,0.101372203822648,NNH
16,50,0.11871373014528301,691.3570390240179,0.0567421423870238,NNH
17,60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
18,70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
19,80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
20,90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
21,100,0.26359910130579894,406.58022024115195,0.0435749019786486,NNH
22,0,17.5161782783145,594.852665454011,6.198094316785,VRH
23,10,3.2529161690073596,554.279290962117,0.9993789018415921,VRH
24,20,2.41947830232438,581.451570046268,0.817991567865475,VRH
25,30,6.007949690749769,514.570554480681,1.5908020750487102,VRH
26,40,0.542834161424546,635.829111864273,0.21945626710832503,VRH
27,50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
28,60,1.04957856477369,378.096368221455,0.150044459787177,VRH
29,70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
30,80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
31,90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
32,100,0.687922538054413,130.27743680613997,0.0116755661516057,VRH
33,0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
34,10,1.96507250745595,589.499145218446,0.682880857960164,NNH
35,20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
36,30,0.677533285738715,661.1174419077411,0.29613372268295396,NNH
37,40,0.18706003419447698,736.154446019602,0.101372203822648,NNH
38,50,0.11871373014528301,691.3570390240179,0.0567421423870238,NNH
39,60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
40,70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
41,80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
42,90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
43,100,0.26359910130579894,406.58022024115195,0.0435749019786486,NNH
44,0,17.5161782783145,594.852665454011,6.198094316785,VRH
45,10,3.2529161690073596,554.279290962117,0.9993789018415921,VRH
46,20,2.41947830232438,581.451570046268,0.817991567865475,VRH
47,30,6.007949690749769,514.570554480681,1.5908020750487102,VRH
48,40,0.542834161424546,635.829111864273,0.21945626710832503,VRH
49,50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
50,60,1.04957856477369,378.096368221455,0.150044459787177,VRH
51,70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
52,80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
53,90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
54,100,0.687922538054413,130.27743680613997,0.0116755661516057,VRH
55,0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
56,10,1.96507250745595,589.499145218446,0.682880857960164,NNH
57,20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
58,30,0.677533285738715,661.1174419077411,0.29613372268295396,NNH
59,40,0.18706003419447698,736.154446019602,0.101372203822648,NNH
60,50,0.11871373014528301,691.3570390240179,0.0567421423870238,NNH
61,60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
62,70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
63,80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
64,90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
65,100,0.26359910130579894,406.58022024115195,0.0435749019786486,NNH
