guest-load,sigma,Seebeck,guest,powerFactor
0,53.722656127424,51.7399885482875,pc70bm,14.381696953583582
5,44.3632352554202,62.1041082218818,pc70bm,17.110546076861187
10,25.2544806649403,75.6275410486314,pc70bm,14.444363264281241
15,18.2983410423285,84.1689959279246,pc70bm,12.963313096922365
30,10.3437294206845,110.2338164591178,pc70bm,12.569176900457014
60,1.61344218264502,130.4431140980817,pc70bm,2.7453373820409204
70,0.466634129966626,180.298803328034,pc70bm,1.5169182932776806
80,0.0185395262357693,277.066186419804,pc70bm,0.14231991836953634
5,46.24491306,98.0,ptb7th,44.413614502824004
10,39.00399401,99.0,ptb7th,38.227814529201
15,34.2034696,103.0,ptb7th,36.28646089864
5,14.11504325,87.0,pcpdtbt,10.683676235925
10,7.260856433,114.0,pcpdtbt,9.436209020326801
15,2.933927943,141.0,pcpdtbt,5.8329421434783
5,24.11504325,80.0,pfo,15.43362768
10,17.26085643,110.0,pfo,20.8856362803
15,7.933927943,137.0,pfo,14.8911893562167
5,54.1923177,72.0,pcdtbt,28.09329749568
10,21.72477319,75.0,pcdtbt,12.220184919375
15,37.25338261,86.0,pcdtbt,27.552601778356006
5,13.163405,78.5,p3ht,8.111619246125
10,51.450155,97.0,p3ht,48.4094508395
15,58.358125,95.095,p3ht,52.77359689633282
