wl,reference,5,10,15,30,50,70,p3ht
371.12137,,,,,,,,0.3987199999999999
371.97224,,,,,,,,0.71559
372.82,,1.436,0.4773,0.7287,0.5227,0.6335,0.4942,
372.82311,,,,,,,,0.6293300000000001
373.67,,1.298,0.5224,0.7659,0.644,0.6364,0.5722,
373.67398,,,,,,,,0.45474
374.52,,1.154,0.7084,0.8114,0.7528,0.7102,0.6696,
374.52486,,,,,,,,0.3824099999999999
375.37573,,,,,,,,0.62645
375.38,,1.017,0.8615,0.8366,0.8056,0.7678,0.8061,
376.2266,,,,,,,,0.6068
376.23,,0.7842,0.948,0.8492,0.8121,0.7867,0.8917,
377.07747,,,,,,,,0.37986
377.08,,0.6401,1.084,0.8333,0.846,0.8473,0.9692,
377.92834,,,,,,,,0.47235
377.93,,0.6295,1.139,0.8023,0.8689,0.8954,0.9344,
378.77921,,,,,,,,0.45143
378.78,,0.6329,1.06,0.7438,0.9084,0.993,0.9042,
379.63,,0.6278,0.9662,0.6519,0.8729,0.9999,0.9107,
379.63009,,,,,,,,0.39798
380.48,,0.6438,0.9218,0.5957,0.8764,0.9935,0.9896,
380.48096,,,,,,,,0.49309
381.33,,0.6319,0.722,0.5481,0.7652,0.8722,0.9512,
381.33183,,,,,,,,0.61161
382.18,,0.6056,0.6352,0.5203,0.7277,0.8432,0.958,
382.1827,,,,,,,,0.51578
383.03,,0.5834,0.6996,0.5067,0.7027,0.8732,0.9789,
383.03357,,,,,,,,0.38456
383.88,,0.5408,0.7475,0.5005,0.7038,0.8519,1.077,
383.88444,,,,,,,,0.28068
384.73532,,,,,,,,0.29814
384.74,,0.5182,0.7958,0.5015,0.7325,0.8645,1.116,
385.58619,,,,,,,,0.31138
385.59,,0.4854,0.892,0.4768,0.781,0.9202,1.148,
386.16,0.4372,,,,,,,
386.43706,,,,,,,,0.32195
386.44,,0.4451,0.99,0.4533,0.8343,0.9746,1.128,
387.078,0.4895,,,,,,,
387.28793,,,,,,,,0.34005
387.29,,0.4184,1.028,0.4444,0.8513,1.006,1.098,
387.996,0.5015,,,,,,,
388.1388,,,,,,,,0.3105
388.14,,0.3972,1.052,0.4198,0.8504,0.9916,1.08,
388.913,0.5153,,,,,,,
388.9896700000001,,,,,,,,0.30931
388.99,,0.3803,1.061,0.3812,0.8595,0.8889,1.036,
389.831,0.5365,,,,,,,
389.84,,0.3564,1.003,0.3444,0.8226,0.817,0.9523,
389.84055,,,,,,,,0.27513
390.69,,0.3508,0.9613,0.3131,0.8064,0.8057,0.9061,
390.69142,,,,,,,,0.3058
390.749,0.5445,,,,,,,
391.54,,0.3412,0.969,0.2916,0.8235,0.7933,0.8597,
391.54229,,,,,,,,0.2969199999999999
391.666,0.538,,,,,,,
392.39,,0.322,0.9759,0.2736,0.8653,0.7772,0.8817,
392.39316,,,,,,,,0.27487
392.584,0.5482,,,,,,,
393.24,,0.3073,0.9588,0.2601,0.8733,0.7925,0.8836,
393.24403,,,,,,,,0.2299199999999999
393.502,0.5456,,,,,,,
394.09,,0.2519,0.9891,0.2251,0.8803,0.8321,0.8975,
394.0949,,,,,,,,0.28457
394.42,0.5426,,,,,,,
394.94577,,,,,,,,0.28981
394.95,,0.1535,1.019,0.1618,0.8961,0.8803,0.9162,
395.337,0.5333,,,,,,,
395.79665,,,,,,,,0.37396
395.8,,0.1177,1.06,0.1038,0.8923,0.9152,0.9248,
396.255,0.5218,,,,,,,
396.64752,,,,,,,,0.38799
396.65,,0.1232,1.081,0.07116,0.8948,0.9247,0.9256,
397.173,0.5109,,,,,,,
397.49839,,,,,,,,0.1774
397.5,,0.1163,1.058,0.06462,0.9075,0.8889,0.8953,
398.09,0.5132,,,,,,,
398.34926,,,,,,,,0.18602
398.35,,0.1254,1.027,0.09113,0.915,0.8814,0.858,
399.008,0.5226,,,,,,,
399.2,,0.2498,1.016,0.1774,0.9221,0.8732,0.8573,
399.20013,,,,,,,,0.41801
399.926,0.5314,,,,,,,
400.05,,0.4324,1.052,0.2872,0.926,0.8759,0.8623,
400.051,,,,,,,,0.39764
400.844,0.545,,,,,,,
400.9,,0.6372,1.103,0.3886,0.9156,0.8908,0.8652,
400.90188,,,,,,,,0.43272
401.75,,0.9099,1.131,0.5182,0.8955,0.9014,0.8699,
401.75275,,,,,,,,0.4008199999999999
401.761,0.5646,,,,,,,
402.6,,1.157,1.187,0.6609,0.8821,0.9027,0.9093,
402.60362,,,,,,,,0.36484
402.679,0.5807,,,,,,,
403.45,,1.349,1.253,0.8021,0.8772,0.8962,0.9422,
403.45449,,,,,,,,0.57622
403.597,0.5903,,,,,,,
404.30536,,,,,,,,0.7817
404.31,,1.549,1.283,0.9819,0.8734,0.8752,0.949,
404.514,0.6035,,,,,,,
405.15623,,,,,,,,0.89245
405.16,,1.664,1.298,1.186,0.8848,0.8773,0.9775,
405.432,0.6181,,,,,,,
406.00711,,,,,,,,0.83567
406.01,,1.632,1.341,1.372,0.9269,0.9112,0.9999,
406.35,0.6249,,,,,,,
406.85798,,,,,,,,0.72621
406.86,,1.525,1.363,1.492,0.954,0.9362,1.0,
407.267,0.6268,,,,,,,
407.70885,,,,,,,,0.8738
407.71,,1.455,1.356,1.551,0.9545,0.9315,0.9919,
408.185,0.6284,,,,,,,
408.55972,,,,,,,,0.8342200000000001
408.56,,1.383,1.351,1.512,0.9505,0.932,0.9842,
409.103,0.6325,,,,,,,
409.41,,1.343,1.326,1.408,0.9407,0.9238,0.9639,
409.41059,,,,,,,,0.77477
