sample;FWHM;Center;Height;peak
ambient;0.73551;3.12679;4138.29638;oop100
ambient;0.89337;6.06964;511.8262;oop200
ambient;0.05255;8.95995;140.35472;oop300
ambient;1.94414;14.14989;26.86693;ip003
ambient;1.65658;17.46573;22.45201;ip010
T 100 n;0.60176;2.91658;10773.97204;oop100
T 100 n;0.52551;5.85944;1144.19588;oop200
T 100 n;8.64464;8.74974;220.73409;oop300
T 100 n;1.88978;14.26502;23.31745;ip003
T 100 n;1.30754;17.23546;20.98709;ip010
180_1_n;0.26507;2.91658;27958.43997;oop100
180_1_n;0.47296;5.85944;1431.84868;oop200
180_1_n;8.64464;8.74974;229.16533;oop300
180_1_n;1.97647;14.14989;33.18184;ip003
180_1_n;1.6039;16.98217;30.4115;ip010
180_2_d;0.41911;2.88566;16788.66666;oop100
180_2_d;0.39247;5.65994;4550.99258;oop200
180_2_d;0.93379;8.39371;603.32404;oop300
180_2_d;3.17943;14.14477;149.11875;ip003
180_2_d;1.53575;17.52656;213.48909;ip010
180_2_n;0.41205;3.16916;14388.38399;oop100
180_2_n;0.3767;6.00419;5180.57729;oop200
180_2_n;0.72414;8.96072;789.53929;oop300
180_2_n;2.67271;14.24603;243.08588;ip003
180_2_n;2.05579;17.10131;235.98121;ip010
T 275 C n;0.55831;3.17934;16795.909;oop100
T 275 C n;0.63729;6.06964;1891.56278;oop200
T 275 C n;0.05255;8.95995;389.97057;oop300
T 275 C n;2.61019;14.28805;37.14713;ip003
T 275 C n;1.75935;17.23546;32.96248;ip010
T 275 C  d;0.26953;2.54872;37698.74135;oop100
T 275 C  d;0.4779;5.12372;1750.13667;oop200
T 275 C  d;0.05255;7.69872;211.90045;oop300
T 275 C  d;0.42816;16.29137;71.50374;ip003
T 275 C  d;0.66646;17.90323;38.06401;ip010
P3HT 10 d;0.34908;2.7844;9718.14834;oop100
P3HT 10 d;0.46568;3.63491;438.34999;oop100p
P3HT 10 d;0.41603;5.43718;849.48872;oop200
P3HT 10 d;1.29886;8.13046;137.92749;oop300
P3HT 10 d;3.74997;13.57777;55.65171;ip003
P3HT 10 d;1.2147;17.64806;95.38084;ip010
P3HT 10 n;0.37228;2.94641;4210.38693;oop100
P3HT 10 n;0.59787;3.93867;281.72987;oop100p
P3HT 10 n;0.54878;5.90294;506.73587;oop200
P3HT 10 n;1.7072;8.85947;122.17697;oop300
P3HT 10 n;2.59043;14.12452;40.52771;ip003
P3HT 10 n;1.99439;16.91905;37.44509;ip010
P3HT 5 d;0.34085;2.7844;14234.43173;oop100
P3HT 5 d;0.44538;3.55391;513.66142;oop100p
P3HT 5 d;0.32139;5.41693;1785.53892;oop200
P3HT 5 d;0.96873;8.06971;220.19815;oop300
P3HT 5 d;3.81763;13.47652;73.86843;ip003
P3HT 5 d;1.17831;17.70881;151.16674;ip010
P3HT 5 n;0.36335;3.08816;4428.79887;oop100
P3HT 5 n;0.85051;3.93867;162.92849;oop100p
P3HT 5 n;0.49983;5.98394;552.94993;oop200
P3HT 5 n;1.35976;8.85947;140.03134;oop300
P3HT 5 n;2.71428;14.04352;43.55162;ip003
P3HT 5 n;1.86599;16.8583;38.55993;ip010
