xc,xoop,xip,ip,oop,complete
0.026275506,0.026275506,0.011513334,0,0,14.0866364
0.078826517,0.078826517,0.034540001,0,0,13.603164
0.13137753,0.13137753,0.057566669,11.0000118,0,13.9575364
0.18392855,0.18392855,0.080593333,11.4547884,0,13.2950062
0.23647955,0.23647955,0.10362001,12.0528386,0,13.8328992
0.28903058,0.28903058,0.12664667,10.423391,0,14.5230616
0.34158158,0.34158158,0.14967334,12.209444,14.311385,14.4345466
0.39413258,0.39413258,0.1727,12.491905,14.957971,14.9148744
0.44668362,0.44668362,0.19572668,12.3917806,17.3413932,15.6396518
0.49923462,0.49923462,0.21875334,12.2700424,19.9934774,16.3704636
0.55178565,0.55178565,0.24178001,13.022392,21.5133494,16.669593
0.60433662,0.60433662,0.26480669,12.7648954,23.9380902,17.639146
0.65688765,0.65688765,0.28783333,12.66306,23.482499,17.9006944
0.70943868,0.70943868,0.31086001,13.067597,24.6652828,18.7054358
0.76198965,0.76198965,0.33388668,13.027108,27.583193,19.5931462
0.81454068,0.81454068,0.35691336,11.8952946,33.0465652,20.6959352
0.86709172,0.86709172,0.37994,11.2911674,35.2988516,21.7011734
0.91964275,0.91964275,0.40296668,12.3501336,45.5156712,23.1096708
0.97219372,0.97219372,0.42599335,13.1288082,53.805516,25.186269
1.0247447,1.0247447,0.44902003,12.2322674,69.8724718,27.15615
1.0772958,1.0772958,0.47204667,13.3951722,92.447152,30.488908
1.1298468,1.1298468,0.49507335,13.1010126,154.154176,36.898263
1.1823977,1.1823977,0.51810002,11.6297568,340.92848,52.724394
1.2349488,1.2349488,0.54112667,12.4686588,2247.437808,150.185174
1.2874998,1.2874998,0.56415337,12.4949228,30073.09668,1339.407838
1.3400508,1.3400508,0.58718002,12.9824746,43693.2502,1979.7791
1.3926018,1.3926018,0.61020666,13.5035558,34145.7952,1685.5639
1.4451529,1.4451529,0.63323337,14.2453298,29971.90046,1514.99692
1.4977039,1.4977039,0.65626001,14.0976102,26363.64692,1345.4098
1.5502548,1.5502548,0.67928672,13.4436328,23035.40574,1190.40028
1.6028059,1.6028059,0.70231336,12.7391632,20250.23038,1065.5887
1.6553569,1.6553569,0.72534001,12.1260108,17958.24892,974.92696
1.7079079,1.7079079,0.74836671,12.1999366,15019.91748,884.52528
1.7604589,1.7604589,0.77139336,12.999289,13545.6523,813.68056
1.81301,1.81301,0.79442,13.3272748,12026.03588,749.4767
1.8655609,1.8655609,0.81744671,13.4107632,10663.78374,692.83152
1.9181119,1.9181119,0.84047335,12.6110128,9594.39776,661.72776
1.970663,1.970663,0.86350006,13.586892,8696.66648,626.17218
2.0232139,2.0232139,0.8865267,13.7540408,7867.68508,596.70114
2.0757649,2.0757649,0.90955335,12.7420928,7206.64482,571.25328
2.1283159,2.1283159,0.93258005,13.1142032,6702.83986,550.02102
2.180867,2.180867,0.9556067,13.7661822,6229.81812,532.18912
2.233418,2.233418,0.97863334,13.682698,5770.57588,513.56916
2.285969,2.285969,1.00166,12.5462154,5483.78082,501.4516
2.3385201,2.3385201,1.0246867,12.0034352,5240.0479,488.63708
2.3910711,2.3910711,1.0477134,12.0654498,4942.96364,486.29556
2.4436221,2.4436221,1.07074,12.8636838,4743.99988,485.70994
2.4961731,2.4961731,1.0937667,12.9342258,4719.14408,491.8285
2.5487242,2.5487242,1.1167934,13.2960672,4907.4447,503.4359
2.6012752,2.6012752,1.1398201,13.917869,5252.66738,525.62482
2.6538262,2.6538262,1.1628467,13.1713422,5422.81516,543.18822
2.706377,2.706377,1.1858734,12.6319376,5615.34022,568.3821
2.7589281,2.7589281,1.2089001,12.6702042,6554.90088,631.12294
2.8114791,2.8114791,1.2319267,12.8727428,8416.20766,735.42044
2.8640301,2.8640301,1.2549534,12.8710712,10286.22024,827.19304
2.9165812,2.9165812,1.2779801,13.0652362,10773.97204,856.03824
2.9691322,2.9691322,1.3010067,13.4528706,9433.61084,793.19198
3.0216832,3.0216832,1.3240334,13.3768116,7471.4982,689.72692
3.0742342,3.0742342,1.3470601,12.9866806,6052.47574,612.75686
3.1267853,3.1267853,1.3700867,13.2436636,5815.70876,590.5244
3.1793363,3.1793363,1.3931134,12.7608814,5999.5444,582.14454
3.2318873,3.2318873,1.4161401,12.6929822,5656.78374,549.126
3.2844384,3.2844384,1.4391667,13.3297694,4534.30332,481.42546
3.3369894,3.3369894,1.4621934,16.714775,3119.20912,400.2086
3.3895402,3.3895402,1.4852201,25.521721,1898.64334,328.43122
3.4420912,3.4420912,1.5082468,35.549438,1183.66226,282.81816
3.4946423,3.4946423,1.5312734,43.361226,801.3194,260.3417
3.5471933,3.5471933,1.5543001,53.302296,637.47628,246.87805
3.5997443,3.5997443,1.5773268,62.75574,525.18616,239.09049
3.6522954,3.6522954,1.6003534,67.110628,437.07586,228.91554
3.7048464,3.7048464,1.6233801,73.61116,356.0666,221.7359
3.7573974,3.7573974,1.6464068,79.34869,301.55182,215.79117
3.8099484,3.8099484,1.6694334,82.33391,280.88726,212.59021
3.8624995,3.8624995,1.6924601,90.49009,275.59834,208.07255
3.9150505,3.9150505,1.7154868,99.49979,260.07554,204.68888
3.9676015,3.9676015,1.7385134,102.64128,241.47868,199.9624
4.0201526,4.0201526,1.7615401,107.016,240.66088,197.83956
4.0727034,4.0727034,1.7845668,113.70483,229.69001,196.53145
4.1252546,4.1252546,1.8075933,120.13554,231.56041,196.17804
4.1778054,4.1778054,1.8306201,128.82999,230.50346,190.91119
4.2303567,4.2303567,1.8536468,130.4708,216.11667,188.02432
4.2829075,4.2829075,1.8766735,132.17603,212.87971,187.64779
4.3354588,4.3354588,1.8997,142.74852,215.07324,186.10112
4.3880095,4.3880095,1.9227268,149.35236,216.06238,182.23203
4.4405603,4.4405603,1.9457535,152.92271,211.27149,180.07496
4.4931116,4.4931116,1.96878,151.43552,202.12656,178.57532
4.5456624,4.5456624,1.9918067,160.20815,215.15705,176.63056
4.5982137,4.5982137,2.0148335,171.47047,213.94618,173.72607
4.6507645,4.6507645,2.0378602,172.21803,203.87278,171.05918
4.7033157,4.7033157,2.0608869,165.18566,213.40733,170.30401
4.7558665,4.7558665,2.0839133,166.44414,210.49632,168.49818
4.8084178,4.8084178,2.10694,174.54745,206.04011,169.14872
4.8609686,4.8609686,2.1299667,180.87494,201.61055,164.96532
4.9135199,4.9135199,2.1529934,184.35319,214.19198,165.15795
4.9660707,4.9660707,2.1760201,189.60981,216.88769,163.44661
5.0186219,5.0186219,2.1990469,193.51163,212.05247,163.89243
5.0711727,5.0711727,2.2220733,193.62783,214.3946,163.25341
5.1237235,5.1237235,2.2451,195.07702,222.94632,162.64909
5.1762748,5.1762748,2.2681267,196.95332,231.7085,161.85813
5.2288256,5.2288256,2.2911534,197.59809,245.08811,161.12253
5.2813768,5.2813768,2.3141801,197.78646,261.85337,161.04615
5.3339276,5.3339276,2.3372068,193.49168,275.37203,163.99464
5.3864789,5.3864789,2.3602333,193.3716,310.18851,166.78085
5.4390297,5.4390297,2.38326,195.99674,358.45406,168.11565
5.491581,5.491581,2.4062867,195.75861,416.19128,171.61326
5.5441318,5.5441318,2.4293134,194.64042,484.85616,178.54306
