,,,ip,oop,complete
0.026275506,0.026275506,0.011513334,0,0,11.7946804
0.078826517,0.078826517,0.034540001,0,0,12.590698
0.13137753,0.13137753,0.057566669,14.0000138,0,12.6617244
0.18392855,0.18392855,0.080593333,13.4802934,0,12.8768312
0.23647955,0.23647955,0.10362001,12.4000406,0,12.9251572
0.28903058,0.28903058,0.12664667,12.397472,0,13.0714836
0.34158158,0.34158158,0.14967334,12.764881,14.264297,13.6878996
0.39413258,0.39413258,0.1727,13.000284,13.302993,13.6454744
0.44668362,0.44668362,0.19572668,12.4561056,14.7708772,13.6879898
0.49923462,0.49923462,0.21875334,11.8503834,16.5538294,14.4611176
0.55178565,0.55178565,0.24178001,11.975792,17.3455544,15.121301
0.60433662,0.60433662,0.26480669,12.5542704,18.5318542,14.914507
0.65688765,0.65688765,0.28783333,13.048419,18.240121,15.5714044
0.70943868,0.70943868,0.31086001,12.987847,18.3621938,16.3265638
0.76198965,0.76198965,0.33388668,12.194825,20.587175,16.9472872
0.81454068,0.81454068,0.35691336,12.2370856,25.4069242,18.1958992
0.86709172,0.86709172,0.37994,12.5340414,26.7948926,18.7619224
0.91964275,0.91964275,0.40296668,12.3338236,31.2156002,19.5395268
0.97219372,0.97219372,0.42599335,11.9802182,35.518822,20.868779
1.0247447,1.0247447,0.44902003,11.6593304,48.5193678,22.542823
1.0772958,1.0772958,0.47204667,11.5800182,66.944934,24.561867
1.1298468,1.1298468,0.49507335,11.7697486,108.199446,29.086732
1.1823977,1.1823977,0.51810002,12.5637088,231.56331,41.195787
1.2349488,1.2349488,0.54112667,12.7790358,1460.097408,112.354554
1.2874998,1.2874998,0.56415337,12.5937018,17062.29768,815.685268
1.3400508,1.3400508,0.58718002,12.3940286,25952.6372,1237.1438
1.3926018,1.3926018,0.61020666,12.1042108,21806.6922,1100.5555
1.4451529,1.4451529,0.63323337,12.4869388,19041.37046,994.64672
1.4977039,1.4977039,0.65626001,13.3266962,16608.96892,893.4631
1.5502548,1.5502548,0.67928672,13.3825608,14562.68774,806.68098
1.6028059,1.6028059,0.70231336,12.8246692,12877.54238,741.3901
1.6553569,1.6553569,0.72534001,12.3913308,11472.73092,691.54226
1.7079079,1.7079079,0.74836671,12.2438896,9591.41548,643.84418
1.7604589,1.7604589,0.77139336,12.525397,8926.0733,606.49106
1.81301,1.81301,0.79442,12.5579858,8010.06578,572.5104
1.8655609,1.8655609,0.81744671,12.4634932,7229.20634,547.13012
1.9181119,1.9181119,0.84047335,13.2549148,6620.43586,536.86526
1.970663,1.970663,0.86350006,13.467732,6018.24908,520.20758
2.0232139,2.0232139,0.8865267,12.9131018,5429.55178,500.50374
2.0757649,2.0757649,0.90955335,13.0438068,5020.81672,487.56738
2.1283159,2.1283159,0.93258005,12.8891262,4786.06296,480.55902
2.180867,2.180867,0.9556067,12.7514442,4585.97882,476.01182
2.233418,2.233418,0.97863334,12.732762,4284.57638,467.53256
2.285969,2.285969,1.00166,12.2515054,3975.00152,459.1614
2.3385201,2.3385201,1.0246867,12.2902962,3715.1582,445.52418
2.3910711,2.3910711,1.0477134,12.0106118,3561.52914,447.15236
2.4436221,2.4436221,1.07074,11.7936608,3650.83148,459.62404
2.4961731,2.4961731,1.0937667,12.9799468,3757.16698,468.5507
2.5487242,2.5487242,1.1167934,13.3433042,3612.4496,464.8279
2.6012752,2.6012752,1.1398201,13.85674,3428.80408,460.24022
2.6538262,2.6538262,1.1628467,13.4771342,3639.18136,480.68492
2.706377,2.706377,1.1858734,12.8367016,5183.49012,574.1442
2.7589281,2.7589281,1.2089001,12.3650672,8212.81108,749.89354
2.8114791,2.8114791,1.2319267,12.0097858,12037.06546,966.75024
