,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi
,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back
0.010125107,4.000003,0.010125107,4,0.010125107,1.992146,0.010125107,2.999999,0.010125107,3,0.010125107,2.498037,0.010125107,6.999999,0.010125107,7.000002,0.010125107,5.49411,0.010125107,2.999999,0.010125107,3,0.010125107,2.498037,0.010125107,15.000001,0.010125107,15.000002,0.010125107,16.003929
0.03037532,4.000003,0.03037532,4.629491,0.03037532,3.093284,0.03037532,3.000001,0.03037532,3.629493,0.03037532,2.813027,0.03037532,5.757242,0.03037532,7.00000500000001,0.03037532,5.660542,0.03037532,4.864147,0.03037532,3.629493,0.03037532,3.266105,0.03037532,15.621388,0.03037532,14.370515,0.03037532,15.842639
0.050625537,2.726078,0.050625537,4.649364,0.050625537,3.649402,0.050625537,2.286488,0.050625537,3.467286,0.050625537,3.050907,0.050625537,5.853624,0.050625537,6.733647,0.050625537,5.866117,0.050625537,4.71308,0.050625537,3.817927,0.050625537,3.980638,0.050625537,16.127119,0.050625537,14.448451,0.050625537,15.76244
0.070875749,0.358661999999999,0.070875749,4.030843,0.070875749,3.344913,0.070875749,2.611832,0.070875749,3.317136,0.070875749,3.51127,0.070875749,8.464907,0.070875749,6.469606,0.070875749,6.645334,0.070875749,3.941193,0.070875749,2.396579,0.070875749,3.234846,0.070875749,17.306053,0.070875749,15.377976,0.070875749,15.920857
0.091125965,5.581317,0.091125965,4.792353,0.091125965,4.599573,0.091125965,5.183619,0.091125965,4.115111,0.091125965,4.507511,0.091125965,10.525509,0.091125965,7.115124,0.091125965,7.433798,0.091125965,4.856123,0.091125965,2.47649,0.091125965,2.995527,0.091125965,14.703546,0.091125965,15.243284,0.091125965,15.459896
0.11137618,6.529795,0.11137618,6.401362,0.11137618,5.267615,0.11137618,4.288773,0.11137618,4.837078,0.11137618,4.41598,0.11137618,9.084961,0.11137618,8.875639,0.11137618,7.748166,0.11137618,3.979582,0.11137618,3.497471,0.11137618,3.142617,0.11137618,15.266033,0.11137618,14.160215,0.11137618,15.398837
0.1316264,4.603746,0.1316264,6.709932,0.1316264,5.007067,0.1316264,2.333032,0.1316264,4.61738,0.1316264,3.516138,0.1316264,7.384809,0.1316264,10.200333,0.1316264,7.942616,0.1316264,2.872121,0.1316264,3.655943,0.1316264,3.050862,0.1316264,16.470343,0.1316264,14.294922,0.1316264,15.720413
0.15187661,4.032623,0.15187661,7.404786,0.15187661,4.948539,0.15187661,2.670467,0.15187661,4.798219,0.15187661,3.326421,0.15187661,6.617023,0.15187661,10.216748,0.15187661,7.721672,0.15187661,3.121443,0.15187661,2.511281,0.15187661,2.759937,0.15187661,16.552063,0.15187661,14.33603,0.15187661,15.867804
0.17212681,3.631355,0.17212681,7.374619,0.17212681,4.766636,0.17212681,2.473741,0.17212681,4.730771,0.17212681,3.15558,0.17212681,5.797863,0.17212681,9.314063,0.17212681,7.354397,0.17212681,2.870245,0.17212681,3.220643,0.17212681,2.758247,0.17212681,16.448002,0.17212681,14.322795,0.17212681,15.954199
0.19237703,4.012425,0.19237703,6.921741,0.19237703,4.945897,0.19237703,2.334569,0.19237703,4.530923,0.19237703,3.230486,0.19237703,5.910601,0.19237703,8.656597,0.19237703,7.542761,0.19237703,2.291178,0.19237703,3.427904,0.19237703,2.567202,0.19237703,16.263206,0.19237703,14.662478,0.19237703,16.003286
0.21262725,3.969696,0.21262725,6.047669,0.21262725,5.068352,0.21262725,3.115966,0.21262725,3.853417,0.21262725,3.476248,0.21262725,6.439376,0.21262725,8.278273,0.21262725,7.849104,0.21262725,2.001779,0.21262725,3.382102,0.21262725,2.667889,0.21262725,15.91186,0.21262725,15.287147,0.21262725,16.029461
0.23287746,3.487696,0.23287746,5.789789,0.23287746,5.061315,0.23287746,2.99395,0.23287746,3.68548,0.23287746,3.574623,0.23287746,6.073995,0.23287746,8.451862,0.23287746,7.984941,0.23287746,1.923422,0.23287746,3.739999,0.23287746,3.184465,0.23287746,16.057377,0.23287746,15.561871,0.23287746,15.992035
0.25312766,3.307009,0.25312766,6.662516,0.25312766,5.353677,0.25312766,2.284641,0.25312766,3.906263,0.25312766,3.66514,0.25312766,5.9531,0.25312766,8.804378,0.25312766,8.31031,0.25312766,2.567428,0.25312766,3.940666,0.25312766,3.737375,0.25312766,15.918318,0.25312766,15.694914,0.25312766,15.772881
0.2733779,4.573066,0.2733779,7.210184,0.2733779,5.753786,0.2733779,2.937327,0.2733779,4.30888900000001,0.2733779,3.90727,0.2733779,7.468434,0.2733779,8.986862,0.2733779,8.672985,0.2733779,4.381137,0.2733779,4.012153,0.2733779,4.036853,0.2733779,14.804208,0.2733779,15.839705,0.2733779,15.594254
0.2936281,5.427892,0.2936281,6.650959,0.2936281,5.666899,0.2936281,3.41238,0.2936281,4.900516,0.2936281,4.060124,0.2936281,7.787832,0.2936281,9.380632,0.2936281,8.689772,0.2936281,5.30046,0.2936281,3.900613,0.2936281,4.057181,0.2936281,14.69389,0.2936281,16.024237,0.2936281,15.719673
0.31387833,5.291265,0.31387833,6.478999,0.31387833,5.379326,0.31387833,4.178474,0.31387833,5.53274,0.31387833,4.210113,0.31387833,7.591768,0.31387833,10.233136,0.31387833,8.587274,0.31387833,5.413715,0.31387833,4.374386,0.31387833,3.918184,0.31387833,14.929234,0.31387833,15.987758,0.31387833,16.091263
