,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.010125107,1.000001,0.010125107,1,0.010125107,1.501965,0.010125107,2.999999,0.010125107,3,0.010125107,1.996073,0.010125107,4.000003,0.010125107,4,0.010125107,1.992146,0.010125107,0,0.010125107,0,0.010125107,-0.501963,0.010125107,15.000001,0.010125107,15.000002,0.010125107,16.003929,0.010125107,9.0000008,0.010125107,8.9999996,0.010125107,7.00000080000001,0.010125107,6.9999996
0.03037532,1.000001,0.03037532,1.629493,0.03037532,2.457623,0.03037532,3.000001,0.03037532,2.370509,0.03037532,1.990729,0.03037532,2.75724,0.03037532,3.370509,0.03037532,2.155906,0.03037532,2.485527,0.03037532,0.629492000000001,0.03037532,0.893624000000003,0.03037532,15.621388,0.03037532,14.370515,0.03037532,15.842639,0.03037532,10.7398744,0.03037532,11.643869,0.03037532,6.8757274,0.03037532,7.1259
0.050625537,1.573414,0.050625537,2.364154,0.050625537,3.288416,0.050625537,2.146385,0.050625537,1.817925,0.050625537,2.129135,0.050625537,1.579693,0.050625537,2.733644,0.050625537,2.012201,0.050625537,1.71936,0.050625537,1.182078,0.050625537,1.629835,0.050625537,16.127119,0.050625537,14.448451,0.050625537,15.76244,0.050625537,12.0547962,0.050625537,12.6618898,0.050625537,5.7418692,0.050625537,6.2269628
0.070875749,2.670651,0.070875749,3.695081,0.070875749,4.103168,0.070875749,2.217693,0.070875749,1.530412,0.070875749,2.47738,0.070875749,0.817584999999998,0.070875749,2.469598,0.070875749,1.942424,0.070875749,-0.911880000000004,0.070875749,0.713705999999998,0.070875749,1.155897,0.070875749,17.306053,0.070875749,15.377976,0.070875749,15.920857,0.070875749,12.6624244,0.070875749,10.7906018,0.070875749,9.1039654,0.070875749,6.4062218
0.091125965,4.941254,0.091125965,4.951426,0.091125965,4.671053,0.091125965,4.787875,0.091125965,2.960722,0.091125965,3.383467,0.091125965,3.707892,0.091125965,2.880347,0.091125965,2.677538,0.091125965,2.6654,0.091125965,0.751371000000001,0.091125965,2.048567,0.091125965,14.703546,0.091125965,15.243284,0.091125965,15.459896,0.091125965,13.0427488,0.091125965,11.3823432,0.091125965,10.8040708,0.091125965,8.9847222
0.11137618,5.272124,0.11137618,6.127753,0.11137618,4.921905,0.11137618,3.228579,0.11137618,4.281094,0.11137618,3.283048,0.11137618,3.495936,0.11137618,3.973511,0.11137618,3.120666,0.11137618,2.627917,0.11137618,2.504637,0.11137618,2.536168,0.11137618,15.266033,0.11137618,14.160215,0.11137618,15.398837,0.11137618,10.7527194,0.11137618,13.929033,0.11137618,9.9921274,0.11137618,11.092695
0.1316264,3.899797,0.1316264,5.377293,0.1316264,4.322497,0.1316264,1.938848,0.1316264,4.904198,0.1316264,3.154518,0.1316264,2.086906,0.1316264,4.18506,0.1316264,3.185791,0.1316264,1.087181,0.1316264,3.406378,0.1316264,2.47942,0.1316264,16.470343,0.1316264,14.294922,0.1316264,15.720413,0.1316264,9.8367274,0.1316264,14.5604736,0.1316264,7.7741014,0.1316264,11.3053986
0.15187661,3.063305,0.15187661,4.751084,0.15187661,3.715683,0.15187661,1.323284,0.15187661,5.211204,0.15187661,2.905242,0.15187661,2.905598,0.15187661,4.743802,0.15187661,3.463274,0.15187661,1.910406,0.15187661,4.069943,0.15187661,2.593446,0.15187661,16.552063,0.15187661,14.33603,0.15187661,15.867804,0.15187661,10.7248844,0.15187661,14.696247,0.15187661,5.2572644,0.15187661,11.317333
0.17212681,2.38022,0.17212681,4.320445,0.17212681,3.306021,0.17212681,0.800204999999998,0.17212681,4.02254,0.17212681,2.54573,0.17212681,2.563845,0.17212681,4.705823,0.17212681,3.195883,0.17212681,2.011286,0.17212681,3.703454,0.17212681,2.258797,0.17212681,16.448002,0.17212681,14.322795,0.17212681,15.954199,0.17212681,10.4736766,0.17212681,14.625615,0.17212681,5.9528426,0.17212681,11.889379
